"submit.date","submit.time","trial.num","gazeLength","interval","numPic","browser","comments","condition","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","faceIdx","day.and.time","intervalNum","trials","trial_category","include","first.trial","numPicN","block","subid","final_faceIdx","include_good_rt","condition_trial","correct","mean_acc_exp","correct_exposure","rt_exposure"
"Jan 09 2015","05:04:06",1,"Live","Three",4,"Firefox","          ","SocialFirst",0,"Switch",0,"squirrel",0,"",0,1416,"up-left-4sec",0,"(Jan 09 2015 05:04:06)",3,36,"example",TRUE,FALSE,4,"first",1,2,"include","social",FALSE,1,TRUE,1391
"Jan 09 2015","05:04:06",2,"Live","Three",4,"Firefox","          ","SocialFirst",0,"Switch",0,"squirrel",0,"",0,1287,"up-left-4sec",0,"(Jan 09 2015 05:04:06)",3,36,"example",TRUE,FALSE,4,"first",1,2,"include","social",FALSE,1,TRUE,1391
"Jan 09 2015","05:04:06",3,"Live","Three",4,"Firefox","          ","SocialFirst",0,"Switch",0,"tomato",1,"",0,613,"up-right-4sec",0,"(Jan 09 2015 05:04:06)",3,36,"example",TRUE,FALSE,4,"first",1,2,"include","social",FALSE,1,TRUE,1391
"Jan 09 2015","05:04:06",4,"Live","Three",4,"Firefox","          ","SocialFirst",0,"Switch",0,"tomato",2,"",0,587,"down-left-4sec",0,"(Jan 09 2015 05:04:06)",3,36,"example",TRUE,FALSE,4,"first",1,2,"include","social",TRUE,1,TRUE,1391
"Jan 09 2015","05:04:06",5,"Live","Three",4,"Firefox","          ","SocialFirst",0,"Switch",0,"Novel131",3,"Novel23",2,1391,"down-right-4sec",2,"(Jan 09 2015 05:04:06)",3,36,"exposure",TRUE,FALSE,4,"first",1,3,"include","social",TRUE,1,TRUE,1391
"Jan 09 2015","05:04:06",6,"Live","Three",4,"Firefox","          ","SocialFirst",1,"Same",0,"Novel5",1,"Novel5",1,690,"up-right-4sec",3,"(Jan 09 2015 05:04:06)",3,36,"exposure",TRUE,FALSE,4,"first",1,1,"include","social",TRUE,1,TRUE,690
"Jan 09 2015","05:04:06",7,"Live","Three",4,"Firefox","          ","SocialFirst",2,"Switch",1,"Novel4",3,"Novel136",2,691,"down-right-4sec",2,"(Jan 09 2015 05:04:06)",3,36,"exposure",TRUE,FALSE,4,"first",1,3,"include","social",TRUE,1,TRUE,691
"Jan 09 2015","05:04:06",8,"Live","Three",4,"Firefox","          ","SocialFirst",3,"Same",0,"Novel25",3,"Novel25",3,2113,"down-right-4sec",2,"(Jan 09 2015 05:04:06)",3,36,"exposure",TRUE,FALSE,4,"first",1,3,"include","social",TRUE,1,TRUE,2113
"Jan 09 2015","05:04:06",9,"Live","Three",4,"Firefox","          ","SocialFirst",0,"Switch",0,"Novel69",0,"Novel23",2,3057,"straight-ahead",-1,"(Jan 09 2015 05:04:06)",3,36,"test",TRUE,TRUE,4,"first",1,-1,"include","social",FALSE,1,TRUE,1391
"Jan 09 2015","05:04:06",10,"Live","Three",4,"Firefox","          ","SocialFirst",1,"Same",0,"Novel107",2,"Novel5",1,1977,"straight-ahead",-1,"(Jan 09 2015 05:04:06)",3,36,"test",TRUE,FALSE,4,"first",1,-1,"include","social",FALSE,1,TRUE,690
"Jan 09 2015","05:04:06",11,"Live","Three",4,"Firefox","          ","SocialFirst",2,"Switch",1,"Novel129",1,"Novel136",2,2472,"straight-ahead",-1,"(Jan 09 2015 05:04:06)",3,36,"test",TRUE,FALSE,4,"first",1,-1,"include","social",FALSE,1,TRUE,691
"Jan 09 2015","05:04:06",12,"Live","Three",4,"Firefox","          ","SocialFirst",3,"Same",0,"Novel25",2,"Novel25",3,2750,"straight-ahead",-1,"(Jan 09 2015 05:04:06)",3,36,"test",TRUE,FALSE,4,"first",1,-1,"include","social",TRUE,1,TRUE,2113
"Jan 09 2015","05:04:06",13,"Live","Three",4,"Firefox","          ","SocialFirst",4,"Switch",0,"Novel105",3,"Novel98",0,878,"down-right-4sec",2,"(Jan 09 2015 05:04:06)",3,36,"exposure",TRUE,FALSE,4,"first",1,3,"include","social",TRUE,1,TRUE,878
"Jan 09 2015","05:04:06",14,"Live","Three",4,"Firefox","          ","SocialFirst",5,"Same",1,"Novel57",0,"Novel57",0,301,"up-left-4sec",1,"(Jan 09 2015 05:04:06)",3,36,"exposure",TRUE,FALSE,4,"first",1,0,"exclude","social",TRUE,1,TRUE,301
"Jan 09 2015","05:04:06",15,"Live","Three",4,"Firefox","          ","SocialFirst",6,"Switch",1,"Novel139",2,"Novel21",3,210,"down-left-4sec",0,"(Jan 09 2015 05:04:06)",3,36,"exposure",TRUE,FALSE,4,"first",1,2,"exclude","social",TRUE,1,TRUE,210
"Jan 09 2015","05:04:06",16,"Live","Three",4,"Firefox","          ","SocialFirst",7,"Same",1,"Novel14",0,"Novel14",0,169,"up-left-4sec",1,"(Jan 09 2015 05:04:06)",3,36,"exposure",TRUE,FALSE,4,"first",1,0,"exclude","social",TRUE,1,TRUE,169
"Jan 09 2015","05:04:06",17,"Live","Three",4,"Firefox","          ","SocialFirst",4,"Switch",0,"Novel98",3,"Novel98",0,1591,"straight-ahead",-1,"(Jan 09 2015 05:04:06)",3,36,"test",TRUE,FALSE,4,"first",1,-1,"include","social",TRUE,1,TRUE,878
"Jan 09 2015","05:04:06",18,"Live","Three",4,"Firefox","          ","SocialFirst",5,"Same",1,"Novel126",1,"Novel57",0,1116,"straight-ahead",-1,"(Jan 09 2015 05:04:06)",3,36,"test",TRUE,FALSE,4,"first",1,-1,"include","social",FALSE,1,TRUE,301
"Jan 09 2015","05:04:06",19,"Live","Three",4,"Firefox","          ","SocialFirst",6,"Switch",1,"Novel49",0,"Novel21",3,940,"straight-ahead",-1,"(Jan 09 2015 05:04:06)",3,36,"test",TRUE,FALSE,4,"first",1,-1,"include","social",FALSE,1,TRUE,210
"Jan 09 2015","05:04:06",20,"Live","Three",4,"Firefox","          ","SocialFirst",7,"Same",1,"Novel109",2,"Novel14",0,739,"straight-ahead",-1,"(Jan 09 2015 05:04:06)",3,36,"test",TRUE,FALSE,4,"first",1,-1,"include","social",FALSE,1,TRUE,169
"Jan 09 2015","05:04:06",21,"Live","Three",4,"Firefox","          ","SocialFirst",8,"Switch",0,"Novel58",1,"Novel43",0,1077,"straight-ahead",-1,"(Jan 09 2015 05:04:06)",3,36,"exposure",TRUE,FALSE,4,"second",1,-1,"include","no-social",NA,1,NA,1077
"Jan 09 2015","05:04:06",22,"Live","Three",4,"Firefox","          ","SocialFirst",9,"Same",0,"Novel46",3,"Novel46",3,1031,"straight-ahead",-1,"(Jan 09 2015 05:04:06)",3,36,"exposure",TRUE,FALSE,4,"second",1,-1,"include","no-social",NA,1,NA,1031
"Jan 09 2015","05:04:06",23,"Live","Three",4,"Firefox","          ","SocialFirst",10,"Switch",1,"Novel63",0,"Novel92",1,612,"straight-ahead",-1,"(Jan 09 2015 05:04:06)",3,36,"exposure",TRUE,FALSE,4,"second",1,-1,"include","no-social",NA,1,NA,612
"Jan 09 2015","05:04:06",24,"Live","Three",4,"Firefox","          ","SocialFirst",11,"Same",0,"Novel81",1,"Novel81",1,1858,"straight-ahead",-1,"(Jan 09 2015 05:04:06)",3,36,"exposure",TRUE,FALSE,4,"second",1,-1,"include","no-social",NA,1,NA,1858
"Jan 09 2015","05:04:06",25,"Live","Three",4,"Firefox","          ","SocialFirst",8,"Switch",0,"Novel61",3,"Novel43",0,1078,"straight-ahead",-1,"(Jan 09 2015 05:04:06)",3,36,"test",TRUE,FALSE,4,"second",1,-1,"include","no-social",FALSE,1,NA,1077
"Jan 09 2015","05:04:06",26,"Live","Three",4,"Firefox","          ","SocialFirst",9,"Same",0,"Novel115",0,"Novel46",3,669,"straight-ahead",-1,"(Jan 09 2015 05:04:06)",3,36,"test",TRUE,FALSE,4,"second",1,-1,"include","no-social",FALSE,1,NA,1031
"Jan 09 2015","05:04:06",27,"Live","Three",4,"Firefox","          ","SocialFirst",10,"Switch",1,"Novel92",1,"Novel92",1,536,"straight-ahead",-1,"(Jan 09 2015 05:04:06)",3,36,"test",TRUE,FALSE,4,"second",1,-1,"include","no-social",TRUE,1,NA,612
