id,birthday,gender,age,age_group,include ,exclude_notes
1,9/23/09,f,4.1,4,0,"pilot, ""one of these"" language"
2,3/16/11,m,3.04,3,0,"pilot, ""one of these"" language"
3,11/23/08,f,5.08,5,0,"pilot, ""one of these"" language"
4,10/22/09,f,4.09,4,0,"pilot, ""one of these"" language"
5,5/24/09,f,5.02,5,1,
6,6/4/09,m,5.01,5,1,
7,11/30/09,f,4.08,4,1,
8,7/13/10,f,4,4,1,
9,5/17/10,m,4.02,4,1,
10,7/27/10,m,4,4,1,
11,4/21/10,f,4.03,4,1,
12,6/10/10,f,4.01,4,1,
13,5/6/10,m,4.02,4,1,
14,7/1/09,f,5,5,1,
15,5/15/09,f,5.02,5,1,
16,6/7/09,m,5.01,5,1,
17,8/31/10,m,3.11,3,1,
18,12/10/08,f,5.07,5,1,
19,4/24/10,m,4.03,4,1,
20,9/25/09,f,4.1,4,1,
21,6/16/11,f,3.01,3,1,
22,9/23/09,m,4.1,4,1,
23,11/25/08,f,5.08,5,1,
24,9/14/09,f,4.1,4,1,
25,2/9/10,f,4.5,4,1,
