"submit.date","submit.time","trial.num","gazeLength","condition","interval","numPic","browser","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","faceIdx","trial_cat","intervalNum","include","first.trial","numPicN","correct","subids"
"Dec 05 2014","12:00:52",1,"Live","No-socialFirst","Zero",4,"Chrome",0,"Switch",1,"squirrel",0,"",0,3184,"up-left-4sec","0","example",0,TRUE,FALSE,4,TRUE,"1"
"Dec 05 2014","12:00:52",2,"Live","No-socialFirst","Zero",4,"Chrome",0,"Switch",1,"squirrel",0,"",0,2975,"up-left-4sec","0","example",0,TRUE,FALSE,4,TRUE,"1"
"Dec 05 2014","12:00:52",3,"Live","No-socialFirst","Zero",4,"Chrome",0,"Switch",1,"tomato",1,"",0,2756,"up-right-4sec","1","example",0,TRUE,FALSE,4,TRUE,"1"
"Dec 05 2014","12:00:52",4,"Live","No-socialFirst","Zero",4,"Chrome",0,"Switch",1,"tomato",2,"",0,1950,"down-left-4sec","2","example",0,TRUE,FALSE,4,TRUE,"1"
"Dec 05 2014","12:00:52",5,"Live","No-socialFirst","Zero",4,"Chrome",0,"Switch",1,"Novel134",1,"Novel35",0,5650,"straight-ahead","-1","exposure",0,TRUE,FALSE,4,FALSE,"1"
"Dec 05 2014","12:00:52",6,"Live","No-socialFirst","Zero",4,"Chrome",0,"Switch",1,"Novel35",0,"Novel35",0,6358,"straight-ahead","-1","test",0,TRUE,TRUE,4,TRUE,"1"
"Dec 05 2014","12:00:52",7,"Live","No-socialFirst","Zero",4,"Chrome",1,"Same",0,"Novel20",1,"Novel20",1,3796,"straight-ahead","-1","exposure",0,TRUE,FALSE,4,FALSE,"1"
"Dec 05 2014","12:00:52",8,"Live","No-socialFirst","Zero",4,"Chrome",1,"Same",0,"Novel20",0,"Novel20",1,2013,"straight-ahead","-1","test",0,TRUE,FALSE,4,TRUE,"1"
"Dec 05 2014","12:00:52",9,"Live","No-socialFirst","Zero",4,"Chrome",2,"Switch",0,"Novel100",2,"Novel138",0,4488,"straight-ahead","-1","exposure",0,TRUE,FALSE,4,FALSE,"1"
"Dec 05 2014","12:00:52",10,"Live","No-socialFirst","Zero",4,"Chrome",2,"Switch",0,"Novel138",2,"Novel138",0,2282,"straight-ahead","-1","test",0,TRUE,FALSE,4,TRUE,"1"
"Dec 05 2014","12:00:52",11,"Live","No-socialFirst","Zero",4,"Chrome",3,"Same",0,"Novel21",2,"Novel21",2,2909,"straight-ahead","-1","exposure",0,TRUE,FALSE,4,FALSE,"1"
"Dec 05 2014","12:00:52",12,"Live","No-socialFirst","Zero",4,"Chrome",3,"Same",0,"Novel21",1,"Novel21",2,1618,"straight-ahead","-1","test",0,TRUE,FALSE,4,TRUE,"1"
"Dec 05 2014","12:00:52",13,"Live","No-socialFirst","Zero",4,"Chrome",4,"Switch",0,"Novel98",2,"Novel47",3,3895,"straight-ahead","-1","exposure",0,TRUE,FALSE,4,FALSE,"1"
"Dec 05 2014","12:00:52",14,"Live","No-socialFirst","Zero",4,"Chrome",4,"Switch",0,"Novel47",2,"Novel47",3,2075,"straight-ahead","-1","test",0,TRUE,FALSE,4,TRUE,"1"
"Dec 05 2014","12:00:52",15,"Live","No-socialFirst","Zero",4,"Chrome",5,"Same",1,"Novel104",2,"Novel104",2,5933,"straight-ahead","-1","exposure",0,TRUE,FALSE,4,FALSE,"1"
"Dec 05 2014","12:00:52",16,"Live","No-socialFirst","Zero",4,"Chrome",5,"Same",1,"Novel104",2,"Novel104",2,2838,"straight-ahead","-1","test",0,TRUE,FALSE,4,TRUE,"1"
