"submit.date","submit.time","trial.num","gazeLength","condition","interval","numPic","browser","itemNum","trialType","samePos","chosen","chosenIdx","gaze_target","trial_category","kept","keptIdx","rt","face","faceIdx","intervalNum","include","first.trial","numPicN","correct","block","subids"
"Jan 26 2015","07:35:04",1,"Live","100%_reliable","Zero",4,"Chrome",0,"Same",1,"squirrel",0,"squirrel","example","",0,1815,"up-left-4sec","0",0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 26 2015","07:35:04",2,"Live","100%_reliable","Zero",4,"Chrome",0,"Same",1,"tomato",1,"tomato","example","",0,739,"up-right-4sec","1",0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 26 2015","07:35:04",3,"Live","100%_reliable","Zero",4,"Chrome",0,"Same",1,"NA",0,"Novel11","exposure","Novel11",0,5123,"down-left-4sec","2",0,TRUE,FALSE,4,FALSE,"familiarization","1"
"Jan 26 2015","07:35:04",4,"Live","100%_reliable","Zero",4,"Chrome",0,"Same",1,"Novel11",1,"NA","test","Novel11",0,811,"straight-ahead","-1",0,TRUE,TRUE,4,TRUE,"familiarization","1"
"Jan 26 2015","07:35:04",5,"Live","100%_reliable","Zero",4,"Chrome",1,"Same",0,"NA",0,"Novel73","exposure","Novel73",0,2631,"down-left-4sec","2",0,TRUE,FALSE,4,FALSE,"familiarization","1"
"Jan 26 2015","07:35:04",6,"Live","100%_reliable","Zero",4,"Chrome",1,"Same",0,"Novel73",1,"NA","test","Novel73",0,1033,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 26 2015","07:35:04",7,"Live","100%_reliable","Zero",4,"Chrome",2,"Same",1,"NA",1,"Novel63","exposure","Novel63",1,1641,"down-right-4sec","3",0,TRUE,FALSE,4,FALSE,"familiarization","1"
"Jan 26 2015","07:35:04",8,"Live","100%_reliable","Zero",4,"Chrome",2,"Same",1,"Novel63",0,"NA","test","Novel63",1,330,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 26 2015","07:35:04",9,"Live","100%_reliable","Zero",4,"Chrome",3,"Same",0,"NA",1,"Novel19","exposure","Novel19",1,2689,"down-right-4sec","3",0,TRUE,FALSE,4,FALSE,"familiarization","1"
"Jan 26 2015","07:35:04",10,"Live","100%_reliable","Zero",4,"Chrome",3,"Same",0,"Novel19",0,"NA","test","Novel19",1,757,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 26 2015","07:35:04",11,"Live","100%_reliable","Zero",4,"Chrome",4,"Same",0,"NA",1,"Novel24","exposure","Novel24",1,1409,"down-right-4sec","3",0,TRUE,FALSE,4,FALSE,"familiarization","1"
"Jan 26 2015","07:35:04",12,"Live","100%_reliable","Zero",4,"Chrome",4,"Same",0,"Novel24",0,"NA","test","Novel24",1,557,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 26 2015","07:35:04",13,"Live","100%_reliable","Zero",4,"Chrome",5,"Same",1,"NA",1,"Novel25","exposure","Novel25",1,1399,"down-right-4sec","3",0,TRUE,FALSE,4,FALSE,"familiarization","1"
"Jan 26 2015","07:35:04",14,"Live","100%_reliable","Zero",4,"Chrome",5,"Same",1,"Novel25",0,"NA","test","Novel25",1,514,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 26 2015","07:35:04",15,"Live","100%_reliable","Zero",4,"Chrome",6,"Same",0,"NA",1,"Novel120","exposure","Novel120",1,2032,"down-right-4sec","3",0,TRUE,FALSE,4,FALSE,"familiarization","1"
"Jan 26 2015","07:35:04",16,"Live","100%_reliable","Zero",4,"Chrome",6,"Same",0,"Novel120",0,"NA","test","Novel120",1,722,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 26 2015","07:35:04",17,"Live","100%_reliable","Zero",4,"Chrome",7,"Same",1,"NA",1,"Novel28","exposure","Novel28",1,2001,"down-right-4sec","3",0,TRUE,FALSE,4,FALSE,"familiarization","1"
"Jan 26 2015","07:35:04",18,"Live","100%_reliable","Zero",4,"Chrome",7,"Same",1,"Novel28",0,"NA","test","Novel28",1,1073,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 26 2015","07:35:04",19,"Live","100%_reliable","Zero",4,"Chrome",8,"Switch",0,"Novel33",1,"NA","exposure","Novel72",0,5805,"3","3",0,TRUE,FALSE,4,FALSE,"test","1"
"Jan 26 2015","07:35:04",20,"Live","100%_reliable","Zero",4,"Chrome",8,"Switch",0,"Novel72",2,"NA","test","Novel72",0,2185,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"test","1"
"Jan 26 2015","07:35:04",21,"Live","100%_reliable","Zero",4,"Chrome",9,"Same",1,"Novel80",1,"NA","exposure","Novel80",1,3517,"3","3",0,TRUE,FALSE,4,FALSE,"test","1"
"Jan 26 2015","07:35:04",22,"Live","100%_reliable","Zero",4,"Chrome",9,"Same",1,"Novel80",0,"NA","test","Novel80",1,690,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"test","1"
"Jan 26 2015","07:35:04",23,"Live","100%_reliable","Zero",4,"Chrome",10,"Switch",0,"Novel51",2,"NA","exposure","Novel70",0,2783,"2","2",0,TRUE,FALSE,4,TRUE,"test","1"
"Jan 26 2015","07:35:04",24,"Live","100%_reliable","Zero",4,"Chrome",10,"Switch",0,"Novel8",2,"NA","test","Novel70",0,3344,"straight-ahead","-1",0,TRUE,FALSE,4,FALSE,"test","1"
"Jan 26 2015","07:35:04",25,"Live","100%_reliable","Zero",4,"Chrome",11,"Same",0,"Novel59",1,"NA","exposure","Novel59",1,1391,"3","3",0,TRUE,FALSE,4,FALSE,"test","1"
"Jan 26 2015","07:35:04",26,"Live","100%_reliable","Zero",4,"Chrome",11,"Same",0,"Novel59",2,"NA","test","Novel59",1,549,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"test","1"
"Jan 26 2015","07:35:04",27,"Live","100%_reliable","Zero",4,"Chrome",12,"Switch",0,"Novel34",0,"Novel136","exposure","Novel96",1,424,"down-right-4sec","3",0,TRUE,FALSE,4,FALSE,"test","1"
"Jan 26 2015","07:35:04",28,"Live","100%_reliable","Zero",4,"Chrome",12,"Switch",0,"Novel107",2,"NA","test","Novel96",1,2627,"straight-ahead","-1",0,TRUE,FALSE,4,FALSE,"test","1"
"Jan 26 2015","07:35:04",29,"Live","100%_reliable","Zero",4,"Chrome",13,"Same",1,"Novel78",1,"NA","exposure","Novel78",1,1556,"3","3",0,TRUE,FALSE,4,FALSE,"test","1"
"Jan 26 2015","07:35:04",30,"Live","100%_reliable","Zero",4,"Chrome",13,"Same",1,"Novel78",0,"NA","test","Novel78",1,353,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"test","1"
"Jan 26 2015","07:35:04",31,"Live","100%_reliable","Zero",4,"Chrome",14,"Switch",1,"Novel20",2,"NA","exposure","Novel103",1,719,"2","2",0,TRUE,FALSE,4,TRUE,"test","1"
"Jan 26 2015","07:35:04",32,"Live","100%_reliable","Zero",4,"Chrome",14,"Switch",1,"Novel110",2,"NA","test","Novel103",1,883,"straight-ahead","-1",0,TRUE,FALSE,4,FALSE,"test","1"
"Jan 26 2015","07:35:04",33,"Live","100%_reliable","Zero",4,"Chrome",15,"Same",1,"Novel62",2,"NA","exposure","Novel62",2,890,"2","2",0,TRUE,FALSE,4,TRUE,"test","1"
"Jan 26 2015","07:35:04",34,"Live","100%_reliable","Zero",4,"Chrome",15,"Same",1,"Novel62",0,"NA","test","Novel62",2,221,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"test","1"
"Jan 26 2015","07:36:46",1,"Live","100%_reliable","Zero",4,"Chrome",0,"Same",1,"squirrel",0,"squirrel","example","",0,1161,"up-left-4sec","0",0,TRUE,FALSE,4,TRUE,"familiarization","2"
"Jan 26 2015","07:36:46",2,"Live","100%_reliable","Zero",4,"Chrome",0,"Same",1,"tomato",1,"tomato","example","",0,1397,"up-right-4sec","1",0,TRUE,FALSE,4,TRUE,"familiarization","2"
"Jan 26 2015","07:36:46",3,"Live","100%_reliable","Zero",4,"Chrome",0,"Same",1,"NA",1,"Novel101","exposure","Novel101",1,4687,"down-right-4sec","3",0,TRUE,FALSE,4,FALSE,"familiarization","2"
"Jan 26 2015","07:36:46",4,"Live","100%_reliable","Zero",4,"Chrome",0,"Same",1,"Novel101",0,"NA","test","Novel101",1,1819,"straight-ahead","-1",0,TRUE,TRUE,4,TRUE,"familiarization","2"
"Jan 26 2015","07:36:46",5,"Live","100%_reliable","Zero",4,"Chrome",1,"Same",0,"NA",1,"Novel110","exposure","Novel110",1,3149,"down-right-4sec","3",0,TRUE,FALSE,4,FALSE,"familiarization","2"
"Jan 26 2015","07:36:46",6,"Live","100%_reliable","Zero",4,"Chrome",1,"Same",0,"Novel110",0,"NA","test","Novel110",1,1270,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"familiarization","2"
"Jan 26 2015","07:36:46",7,"Live","100%_reliable","Zero",4,"Chrome",2,"Same",1,"NA",1,"Novel94","exposure","Novel94",1,3021,"down-right-4sec","3",0,TRUE,FALSE,4,FALSE,"familiarization","2"
"Jan 26 2015","07:36:46",8,"Live","100%_reliable","Zero",4,"Chrome",2,"Same",1,"Novel94",0,"NA","test","Novel94",1,884,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"familiarization","2"
"Jan 26 2015","07:36:46",9,"Live","100%_reliable","Zero",4,"Chrome",3,"Same",1,"NA",0,"Novel122","exposure","Novel122",0,3154,"down-left-4sec","2",0,TRUE,FALSE,4,FALSE,"familiarization","2"
"Jan 26 2015","07:36:46",10,"Live","100%_reliable","Zero",4,"Chrome",3,"Same",1,"Novel122",1,"NA","test","Novel122",0,1313,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"familiarization","2"
"Jan 26 2015","07:36:46",11,"Live","100%_reliable","Zero",4,"Chrome",4,"Same",0,"NA",0,"Novel130","exposure","Novel130",0,2681,"down-left-4sec","2",0,TRUE,FALSE,4,FALSE,"familiarization","2"
"Jan 26 2015","07:36:46",12,"Live","100%_reliable","Zero",4,"Chrome",4,"Same",0,"Novel130",1,"NA","test","Novel130",0,693,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"familiarization","2"
"Jan 26 2015","07:36:46",13,"Live","100%_reliable","Zero",4,"Chrome",5,"Same",0,"NA",0,"Novel1","exposure","Novel1",0,2820,"down-left-4sec","2",0,TRUE,FALSE,4,FALSE,"familiarization","2"
"Jan 26 2015","07:36:46",14,"Live","100%_reliable","Zero",4,"Chrome",5,"Same",0,"Novel1",1,"NA","test","Novel1",0,982,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"familiarization","2"
"Jan 26 2015","07:36:46",15,"Live","100%_reliable","Zero",4,"Chrome",6,"Same",0,"NA",0,"Novel2","exposure","Novel2",0,2913,"down-left-4sec","2",0,TRUE,FALSE,4,FALSE,"familiarization","2"
"Jan 26 2015","07:36:46",16,"Live","100%_reliable","Zero",4,"Chrome",6,"Same",0,"Novel2",1,"NA","test","Novel2",0,1015,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"familiarization","2"
"Jan 26 2015","07:36:46",17,"Live","100%_reliable","Zero",4,"Chrome",7,"Same",0,"NA",0,"Novel107","exposure","Novel107",0,2075,"down-left-4sec","2",0,TRUE,FALSE,4,FALSE,"familiarization","2"
"Jan 26 2015","07:36:46",18,"Live","100%_reliable","Zero",4,"Chrome",7,"Same",0,"Novel107",1,"NA","test","Novel107",0,767,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"familiarization","2"
"Jan 26 2015","07:36:46",19,"Live","100%_reliable","Zero",4,"Chrome",8,"Switch",0,"Novel65",1,"NA","exposure","Novel129",0,2393,"3","3",0,TRUE,FALSE,4,FALSE,"test","2"
"Jan 26 2015","07:36:46",20,"Live","100%_reliable","Zero",4,"Chrome",8,"Switch",0,"Novel129",2,"NA","test","Novel129",0,8380,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"test","2"
"Jan 26 2015","07:36:46",21,"Live","100%_reliable","Zero",4,"Chrome",9,"Same",1,"Novel52",2,"Novel52","exposure","Novel52",2,3567,"down-left-4sec","2",0,TRUE,FALSE,4,TRUE,"test","2"
"Jan 26 2015","07:36:46",22,"Live","100%_reliable","Zero",4,"Chrome",9,"Same",1,"Novel52",0,"NA","test","Novel52",2,829,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"test","2"
"Jan 26 2015","07:36:46",23,"Live","100%_reliable","Zero",4,"Chrome",10,"Switch",0,"Novel67",2,"NA","exposure","Novel124",1,2789,"2","2",0,TRUE,FALSE,4,TRUE,"test","2"
"Jan 26 2015","07:36:46",24,"Live","100%_reliable","Zero",4,"Chrome",10,"Switch",0,"Novel50",1,"NA","test","Novel124",1,5167,"straight-ahead","-1",0,TRUE,FALSE,4,FALSE,"test","2"
"Jan 26 2015","07:36:46",25,"Live","100%_reliable","Zero",4,"Chrome",11,"Same",0,"Novel66",2,"Novel66","exposure","Novel66",2,3223,"down-left-4sec","2",0,TRUE,FALSE,4,TRUE,"test","2"
"Jan 26 2015","07:36:46",26,"Live","100%_reliable","Zero",4,"Chrome",11,"Same",0,"Novel66",1,"NA","test","Novel66",2,536,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"test","2"
"Jan 26 2015","07:36:46",27,"Live","100%_reliable","Zero",4,"Chrome",12,"Switch",1,"Novel81",1,"NA","exposure","Novel132",0,3191,"3","3",0,TRUE,FALSE,4,FALSE,"test","2"
"Jan 26 2015","07:36:46",28,"Live","100%_reliable","Zero",4,"Chrome",12,"Switch",1,"Novel121",0,"NA","test","Novel132",0,1183,"straight-ahead","-1",0,TRUE,FALSE,4,FALSE,"test","2"
"Jan 26 2015","07:36:46",29,"Live","100%_reliable","Zero",4,"Chrome",13,"Same",1,"Novel4",2,"NA","exposure","Novel4",2,1865,"2","2",0,TRUE,FALSE,4,TRUE,"test","2"
"Jan 26 2015","07:36:46",30,"Live","100%_reliable","Zero",4,"Chrome",13,"Same",1,"Novel4",0,"NA","test","Novel4",2,607,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"test","2"
"Jan 26 2015","07:36:46",31,"Live","100%_reliable","Zero",4,"Chrome",14,"Switch",1,"Novel97",2,"NA","exposure","Novel134",1,2368,"2","2",0,TRUE,FALSE,4,TRUE,"test","2"
"Jan 26 2015","07:36:46",32,"Live","100%_reliable","Zero",4,"Chrome",14,"Switch",1,"Novel88",2,"NA","test","Novel134",1,1813,"straight-ahead","-1",0,TRUE,FALSE,4,FALSE,"test","2"
"Jan 26 2015","07:36:46",33,"Live","100%_reliable","Zero",4,"Chrome",15,"Same",1,"Novel78",1,"NA","exposure","Novel78",1,1388,"3","3",0,TRUE,FALSE,4,FALSE,"test","2"
"Jan 26 2015","07:36:46",34,"Live","100%_reliable","Zero",4,"Chrome",15,"Same",1,"Novel78",0,"NA","test","Novel78",1,637,"straight-ahead","-1",0,TRUE,FALSE,4,TRUE,"test","2"
"Jan 26 2015","07:37:08",1,"Live","100%_reliable","Zero",4,"Chrome",0,"Same",1,"squirrel",0,"squirrel","example","",0,1771,"up-left-4sec","0",0,TRUE,FALSE,4,TRUE,"familiarization","3"
"Jan 26 2015","07:37:08",2,"Live","100%_reliable","Zero",4,"Chrome",0,"Same",1,"tomato",1,"tomato","example","",0,513,"up-right-4sec","1",0,TRUE,FALSE,4,TRUE,"familiarization","3"
"Jan 26 2015","07:37:08",3,"Live","100%_reliable","Zero",4,"Chrome",0,"Same",1,"NA",0,"Novel121","exposure","Novel121",0,3108,"down-left-4sec","2",0,TRUE,FALSE,4,FALSE,"familiarization","3"
