"submit.date","submit.time","trial.num","gazeLength","condition","interval","numPic","browser","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","faceIdx","prop_cond","trial_cat","intervalNum","include","first.trial","numPicN","correct","subids","block"
"Jan 17 2015","18:15:47",1,"Live",2,"Zero",4,"Chrome",0,"Switch",1,"squirrel",0,"",0,3778,"up-left-4sec","0","0same100switch","example",0,TRUE,FALSE,4,TRUE,"1","familiarization"
"Jan 17 2015","18:15:47",2,"Live",2,"Zero",4,"Chrome",0,"Switch",1,"squirrel",0,"",0,1423,"up-left-4sec","0","0same100switch","example",0,TRUE,FALSE,4,TRUE,"1","familiarization"
"Jan 17 2015","18:15:47",3,"Live",2,"Zero",4,"Chrome",0,"Switch",1,"tomato",1,"",0,554,"up-right-4sec","1","0same100switch","example",0,TRUE,FALSE,4,TRUE,"1","familiarization"
"Jan 17 2015","18:15:47",4,"Live",2,"Zero",4,"Chrome",0,"Switch",1,"tomato",2,"",0,368,"down-left-4sec","2","0same100switch","example",0,TRUE,FALSE,4,TRUE,"1","familiarization"
"Jan 17 2015","18:15:47",5,"Live",2,"Zero",4,"Chrome",0,"Switch",1,"Novel101",3,"Novel138",0,619,"down-right-4sec","3","0same100switch","exposure",0,TRUE,FALSE,4,TRUE,"1","familiarization"
"Jan 17 2015","18:15:47",6,"Live",2,"Zero",4,"Chrome",0,"Switch",1,"Novel138",0,"Novel138",0,1393,"straight-ahead","-1","0same100switch","test",0,TRUE,TRUE,4,TRUE,"1","familiarization"
"Jan 17 2015","18:15:47",7,"Live",2,"Zero",4,"Chrome",1,"Switch",0,"Novel39",2,"Novel53",3,225,"down-left-4sec","2","0same100switch","exposure",0,TRUE,FALSE,4,TRUE,"1","familiarization"
"Jan 17 2015","18:15:47",8,"Live",2,"Zero",4,"Chrome",1,"Switch",0,"Novel53",0,"Novel53",3,2414,"straight-ahead","-1","0same100switch","test",0,TRUE,FALSE,4,TRUE,"1","familiarization"
"Jan 17 2015","18:15:47",9,"Live",2,"Zero",4,"Chrome",2,"Switch",1,"Novel18",2,"Novel111",0,1721,"down-left-4sec","2","0same100switch","exposure",0,TRUE,FALSE,4,TRUE,"1","familiarization"
"Jan 17 2015","18:15:47",10,"Live",2,"Zero",4,"Chrome",2,"Switch",1,"Novel100",1,"Novel111",0,2638,"straight-ahead","-1","0same100switch","test",0,TRUE,FALSE,4,FALSE,"1","familiarization"
"Jan 17 2015","18:15:47",11,"Live",2,"Zero",4,"Chrome",3,"Switch",0,"Novel137",0,"Novel91",3,907,"up-left-4sec","0","0same100switch","exposure",0,TRUE,FALSE,4,TRUE,"1","familiarization"
"Jan 17 2015","18:15:47",12,"Live",2,"Zero",4,"Chrome",3,"Switch",0,"Novel91",2,"Novel91",3,134,"straight-ahead","-1","0same100switch","test",0,TRUE,FALSE,4,TRUE,"1","familiarization"
"Jan 17 2015","18:15:47",13,"Live",2,"Zero",4,"Chrome",4,"Switch",0,"Novel106",2,"Novel87",3,13,"down-left-4sec","2","0same100switch","exposure",0,TRUE,FALSE,4,TRUE,"1","familiarization"
"Jan 17 2015","18:15:47",14,"Live",2,"Zero",4,"Chrome",4,"Switch",0,"Novel126",0,"Novel87",3,2420,"straight-ahead","-1","0same100switch","test",0,TRUE,FALSE,4,FALSE,"1","familiarization"
"Jan 17 2015","18:15:47",15,"Live",2,"Zero",4,"Chrome",5,"Switch",1,"Novel82",2,"Novel97",0,1973,"down-left-4sec","2","0same100switch","exposure",0,TRUE,FALSE,4,TRUE,"1","familiarization"
"Jan 17 2015","18:15:47",16,"Live",2,"Zero",4,"Chrome",5,"Switch",1,"Novel132",3,"Novel97",0,708,"straight-ahead","-1","0same100switch","test",0,TRUE,FALSE,4,FALSE,"1","familiarization"
"Jan 17 2015","18:15:47",17,"Live",2,"Zero",4,"Chrome",6,"Switch",0,"Novel79",0,"Novel105",2,285,"up-left-4sec","0","0same100switch","exposure",0,TRUE,FALSE,4,TRUE,"1","familiarization"
"Jan 17 2015","18:15:47",18,"Live",2,"Zero",4,"Chrome",6,"Switch",0,"Novel94",0,"Novel105",2,5,"straight-ahead","-1","0same100switch","test",0,TRUE,FALSE,4,FALSE,"1","familiarization"
"Jan 17 2015","18:15:47",19,"Live",2,"Zero",4,"Chrome",7,"Switch",1,"Novel21",0,"Novel47",1,1568,"up-left-4sec","0","0same100switch","exposure",0,TRUE,FALSE,4,TRUE,"1","familiarization"
