"","subid","submit.date","submit.time","trial.num","gazeLength","condition","interval","numPic","browser","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","faceIdx","exposureTrial","testTrial","exampleTrial","day.and.time","intervalNum","include","first.trial","numPicN","correct"
"1","A1015EI76K26I3","Jul 13 2014","10:08:47",1,"Medium","Social","Zero",4,"Chrome",0,"Switch",1,"squirrel",0,"",0,784,"straightahead",-1,0,0,1,(Jul 13 2014 10:08:47),0,TRUE,FALSE,4,FALSE
"2","A1015EI76K26I3","Jul 13 2014","10:08:47",2,"Medium","Social","Zero",4,"Chrome",0,"Switch",1,"squirrel",0,"",0,1890,"straightahead",-1,0,0,1,(Jul 13 2014 10:08:47),0,TRUE,FALSE,4,FALSE
"3","A1015EI76K26I3","Jul 13 2014","10:08:47",3,"Medium","Social","Zero",4,"Chrome",0,"Switch",1,"tomato",1,"",0,128,"straightahead",-1,0,0,1,(Jul 13 2014 10:08:47),0,TRUE,FALSE,4,FALSE
"4","A1015EI76K26I3","Jul 13 2014","10:08:47",4,"Medium","Social","Zero",4,"Chrome",0,"Switch",1,"tomato",2,"",0,1769,"straightahead",-1,0,0,1,(Jul 13 2014 10:08:47),0,TRUE,FALSE,4,FALSE
"5","A1015EI76K26I3","Jul 13 2014","10:08:47",5,"Medium","Social","Zero",4,"Chrome",0,"Switch",1,"Novel101",2,"Novel30",3,190,"silentLDmedium",0,1,0,0,(Jul 13 2014 10:08:47),0,TRUE,FALSE,4,FALSE
"6","A1015EI76K26I3","Jul 13 2014","10:08:47",6,"Medium","Social","Zero",4,"Chrome",0,"Switch",1,"Novel115",1,"Novel30",3,3543,"straightahead",-1,0,1,0,(Jul 13 2014 10:08:47),0,TRUE,TRUE,4,FALSE
"7","A1015EI76K26I3","Jul 13 2014","10:08:47",7,"Medium","Social","Zero",4,"Chrome",1,"Same",1,"Novel86",1,"Novel86",1,146,"silentRUmedium",3,1,0,0,(Jul 13 2014 10:08:47),0,TRUE,FALSE,4,TRUE
"8","A1015EI76K26I3","Jul 13 2014","10:08:47",8,"Medium","Social","Zero",4,"Chrome",1,"Same",1,"Novel86",1,"Novel86",1,381,"straightahead",-1,0,1,0,(Jul 13 2014 10:08:47),0,TRUE,FALSE,4,TRUE
"9","A1015EI76K26I3","Jul 13 2014","10:08:47",9,"Medium","Social","Zero",4,"Chrome",2,"Switch",1,"Novel95",2,"Novel28",3,1969,"silentLDmedium",0,1,0,0,(Jul 13 2014 10:08:47),0,TRUE,FALSE,4,FALSE
"10","A1015EI76K26I3","Jul 13 2014","10:08:47",10,"Medium","Social","Zero",4,"Chrome",2,"Switch",1,"Novel28",3,"Novel28",3,1967,"straightahead",-1,0,1,0,(Jul 13 2014 10:08:47),0,TRUE,FALSE,4,TRUE
"11","A1015EI76K26I3","Jul 13 2014","10:08:47",11,"Medium","Social","Zero",4,"Chrome",3,"Same",0,"Novel57",1,"Novel57",1,607,"silentRUmedium",3,1,0,0,(Jul 13 2014 10:08:47),0,TRUE,FALSE,4,TRUE
"12","A1015EI76K26I3","Jul 13 2014","10:08:47",12,"Medium","Social","Zero",4,"Chrome",3,"Same",0,"Novel57",2,"Novel57",1,498,"straightahead",-1,0,1,0,(Jul 13 2014 10:08:47),0,TRUE,FALSE,4,TRUE
"13","A1015EI76K26I3","Jul 13 2014","10:08:47",13,"Medium","Social","Zero",4,"Chrome",4,"Switch",0,"Novel108",0,"Novel107",1,322,"silentLUmedium",1,1,0,0,(Jul 13 2014 10:08:47),0,TRUE,FALSE,4,FALSE
"14","A1015EI76K26I3","Jul 13 2014","10:08:47",14,"Medium","Social","Zero",4,"Chrome",4,"Switch",0,"Novel91",3,"Novel107",1,3055,"straightahead",-1,0,1,0,(Jul 13 2014 10:08:47),0,TRUE,FALSE,4,FALSE
"15","A1015EI76K26I3","Jul 13 2014","10:08:47",15,"Medium","Social","Zero",4,"Chrome",5,"Same",1,"Novel131",2,"Novel131",2,393,"silentLDmedium",0,1,0,0,(Jul 13 2014 10:08:47),0,TRUE,FALSE,4,TRUE
"16","A1015EI76K26I3","Jul 13 2014","10:08:47",16,"Medium","Social","Zero",4,"Chrome",5,"Same",1,"Novel131",2,"Novel131",2,2367,"straightahead",-1,0,1,0,(Jul 13 2014 10:08:47),0,TRUE,FALSE,4,TRUE
"17","A1015EI76K26I3","Jul 13 2014","10:08:47",17,"Medium","Social","Zero",4,"Chrome",6,"Switch",0,"Novel92",1,"Novel100",2,52,"silentRUmedium",3,1,0,0,(Jul 13 2014 10:08:47),0,TRUE,FALSE,4,FALSE
"18","A1015EI76K26I3","Jul 13 2014","10:08:47",18,"Medium","Social","Zero",4,"Chrome",6,"Switch",0,"Novel100",0,"Novel100",2,197,"straightahead",-1,0,1,0,(Jul 13 2014 10:08:47),0,TRUE,FALSE,4,TRUE
"19","A1015EI76K26I3","Jul 13 2014","10:08:47",19,"Medium","Social","Zero",4,"Chrome",7,"Same",0,"Novel12",3,"Novel12",3,586,"silentRDmedium",2,1,0,0,(Jul 13 2014 10:08:47),0,TRUE,FALSE,4,TRUE
"20","A1015EI76K26I3","Jul 13 2014","10:08:47",20,"Medium","Social","Zero",4,"Chrome",7,"Same",0,"Novel12",2,"Novel12",3,142,"straightahead",-1,0,1,0,(Jul 13 2014 10:08:47),0,TRUE,FALSE,4,TRUE
"21","A10XEV4PQKUC2C","Jul 13 2014","10:17:35",1,"Long","Social","Zero",4,"Chrome",0,"Switch",1,"squirrel",0,"",0,3977,"straightahead",-1,0,0,1,(Jul 13 2014 10:17:35),0,TRUE,FALSE,4,FALSE
"22","A10XEV4PQKUC2C","Jul 13 2014","10:17:35",2,"Long","Social","Zero",4,"Chrome",0,"Switch",1,"squirrel",0,"",0,907,"straightahead",-1,0,0,1,(Jul 13 2014 10:17:35),0,TRUE,FALSE,4,FALSE
"23","A10XEV4PQKUC2C","Jul 13 2014","10:17:35",3,"Long","Social","Zero",4,"Chrome",0,"Switch",1,"tomato",1,"",0,173,"straightahead",-1,0,0,1,(Jul 13 2014 10:17:35),0,TRUE,FALSE,4,FALSE
"24","A10XEV4PQKUC2C","Jul 13 2014","10:17:35",4,"Long","Social","Zero",4,"Chrome",0,"Switch",1,"tomato",2,"",0,311,"straightahead",-1,0,0,1,(Jul 13 2014 10:17:35),0,TRUE,FALSE,4,FALSE
