"","X.1","X","subid","submit.time","trial.num","condition","interval","numPic","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","faceIdx","exposureTrial","testTrial","exampleTrial","intervalNum","include","first.trial","numPicN","correct","dataset"
"7681",7681,76811,"A0607295133OZ2DIJW5P8","02:37:40",1,"Social","Seven",4,0,"Same",0,"squirrel",0,"",0,2327,"eyescenter",-1,0,0,1,7,TRUE,FALSE,4,FALSE,"km"
"7682",7682,76821,"A0607295133OZ2DIJW5P8","02:37:40",2,"Social","Seven",4,0,"Same",0,"squirrel",0,"",0,2320,"eyescenter",-1,0,0,1,7,TRUE,FALSE,4,FALSE,"km"
"7683",7683,76831,"A0607295133OZ2DIJW5P8","02:37:40",3,"Social","Seven",4,0,"Same",0,"tomato",1,"",0,3361,"eyescenter",-1,0,0,1,7,TRUE,FALSE,4,FALSE,"km"
"7684",7684,76841,"A0607295133OZ2DIJW5P8","02:37:40",4,"Social","Seven",4,0,"Same",0,"tomato",2,"",0,1254,"eyescenter",-1,0,0,1,7,TRUE,FALSE,4,FALSE,"km"
"7685",7685,76851,"A0607295133OZ2DIJW5P8","02:37:40",5,"Social","Seven",4,0,"Same",0,"Novel5",2,"Novel5",2,6364,"eyes_down_right",2,1,0,0,7,TRUE,FALSE,4,TRUE,"km"
"7686",7686,76861,"A0607295133OZ2DIJW5P8","02:37:40",6,"Social","Seven",4,1,"Switch",0,"Novel7",1,"Novel70",2,2782,"eyes_down_left",1,1,0,0,7,TRUE,FALSE,4,FALSE,"km"
"7687",7687,76871,"A0607295133OZ2DIJW5P8","02:37:40",7,"Social","Seven",4,2,"Same",1,"Novel51",2,"Novel51",2,2000,"eyes_down_right",2,1,0,0,7,TRUE,FALSE,4,TRUE,"km"
"7688",7688,76881,"A0607295133OZ2DIJW5P8","02:37:40",8,"Social","Seven",4,3,"Switch",1,"Novel3",2,"Novel133",1,1166,"eyes_down_right",2,1,0,0,7,TRUE,FALSE,4,FALSE,"km"
"7689",7689,76891,"A0607295133OZ2DIJW5P8","02:37:40",9,"Social","Seven",4,4,"Same",1,"Novel49",2,"Novel49",2,1051,"eyes_down_right",2,1,0,0,7,TRUE,FALSE,4,TRUE,"km"
"7690",7690,76901,"A0607295133OZ2DIJW5P8","02:37:40",10,"Social","Seven",4,5,"Switch",0,"Novel9",3,"Novel52",1,1672,"eyes_right",3,1,0,0,7,TRUE,FALSE,4,FALSE,"km"
"7691",7691,76911,"A0607295133OZ2DIJW5P8","02:37:40",11,"Social","Seven",4,6,"Same",0,"Novel62",3,"Novel62",3,973,"eyes_right",3,1,0,0,7,TRUE,FALSE,4,TRUE,"km"
