"","subid","submit.date","submit.time","trial.num","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","numPic","interval","condition","test","exposure","day.and.time","include","first.trial","numPicN","intervalN","correct"
"1","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",16,7,"Switch",1,"Novel134",0,"Novel56",3,1541,"eyesleftarrow","4","3","soc",0,1,(Jan 18 2014 15:42:56),TRUE,FALSE,4,3,FALSE
"2","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",13,4,"Same",1,"Novel52",3,"Novel52",3,1512,"eyesrightarrow","4","3","soc",0,1,(Jan 18 2014 15:42:56),TRUE,FALSE,4,3,TRUE
"3","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",14,5,"Switch",1,"Novel137",2,"Novel61",0,2323,"eyesdownrightarrow","4","3","soc",0,1,(Jan 18 2014 15:42:56),TRUE,FALSE,4,3,FALSE
"4","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",15,6,"Same",0,"Novel45",0,"Novel45",0,1397,"eyesleftarrow","4","3","soc",0,1,(Jan 18 2014 15:42:56),TRUE,FALSE,4,3,TRUE
"9","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",5,0,"Same",1,"Novel86",0,"Novel86",0,8644,"eyesleftarrow","4","3","soc",0,1,(Jan 18 2014 15:42:56),TRUE,FALSE,4,3,TRUE
"10","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",6,1,"Switch",0,"Novel136",3,"Novel6",2,4423,"eyesrightarrow","4","3","soc",0,1,(Jan 18 2014 15:42:56),TRUE,FALSE,4,3,FALSE
"11","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",7,2,"Same",0,"Novel82",2,"Novel82",2,1876,"eyesdownrightarrow","4","3","soc",0,1,(Jan 18 2014 15:42:56),TRUE,FALSE,4,3,TRUE
"12","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",8,3,"Switch",0,"Novel73",1,"Novel67",2,2108,"eyesdownleftarrow","4","3","soc",0,1,(Jan 18 2014 15:42:56),TRUE,FALSE,4,3,FALSE
"13","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",9,0,"Same",1,"Novel86",0,"Novel86",0,3963,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:42:56),TRUE,TRUE,4,3,TRUE
"14","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",10,1,"Switch",0,"Novel7",1,"Novel6",2,5031,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:42:56),TRUE,FALSE,4,3,FALSE
"15","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",11,2,"Same",0,"Novel82",0,"Novel82",2,4010,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:42:56),TRUE,FALSE,4,3,TRUE
"16","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",12,3,"Switch",0,"Novel60",2,"Novel67",2,4208,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:42:56),TRUE,FALSE,4,3,FALSE
"17","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",18,5,"Switch",1,"Novel24",3,"Novel61",0,2986,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:42:56),TRUE,FALSE,4,3,FALSE
"18","A0275582F4QX5N8WTT19","Jan 18 2014","15:42:56",19,6,"Same",0,"Novel45",3,"Novel45",0,1762,"eyescenter2","4","3","soc",1,0,(Jan 18 2014 15:42:56),TRUE,FALSE,4,3,TRUE
