"","subid","submit.date","submit.time","trial.num","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","numPic","interval","test","exposure","day.and.time"
"325","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",5,0,"Same",1,"Novel46",2,"Novel46",2,8452,"eyescenter","4","0",0,1,(Dec 02 2013 16:05:24)
"327","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",7,1,"Switch",0,"Novel122",1,"Novel96",3,3765,"eyescenter","4","0",0,1,(Dec 02 2013 16:05:24)
"329","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",9,2,"Same",1,"Novel76",3,"Novel76",3,3589,"eyescenter","4","0",0,1,(Dec 02 2013 16:05:24)
"331","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",11,3,"Switch",1,"Novel80",2,"Novel5",3,3563,"eyescenter","4","0",0,1,(Dec 02 2013 16:05:24)
"333","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",13,4,"Same",0,"Novel115",3,"Novel115",3,3221,"eyescenter","4","0",0,1,(Dec 02 2013 16:05:24)
"335","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",15,5,"Switch",1,"Novel88",1,"Novel28",3,2413,"eyescenter","4","0",0,1,(Dec 02 2013 16:05:24)
"337","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",17,6,"Same",0,"Novel62",2,"Novel62",2,3176,"eyescenter","4","0",0,1,(Dec 02 2013 16:05:24)
"339","A14OLGXAFT9LO5","Dec 02 2013","16:05:24",19,7,"Switch",0,"Novel112",1,"Novel139",3,2453,"eyescenter","4","0",0,1,(Dec 02 2013 16:05:24)
"125","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",5,0,"Switch",0,"Novel55",0,"Novel137",3,7082,"eyescenter","4","0",0,1,(Dec 02 2013 16:00:56)
"127","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",7,1,"Same",0,"Novel86",1,"Novel86",1,4150,"eyescenter","4","0",0,1,(Dec 02 2013 16:00:56)
"129","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",9,2,"Switch",1,"Novel74",2,"Novel120",1,1935,"eyescenter","4","0",0,1,(Dec 02 2013 16:00:56)
"131","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",11,3,"Same",0,"Novel36",3,"Novel36",3,2761,"eyescenter","4","0",0,1,(Dec 02 2013 16:00:56)
"133","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",13,4,"Switch",1,"Novel121",0,"Novel85",2,1623,"eyescenter","4","0",0,1,(Dec 02 2013 16:00:56)
"135","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",15,5,"Same",1,"Novel20",2,"Novel20",2,1342,"eyescenter","4","0",0,1,(Dec 02 2013 16:00:56)
"137","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",17,6,"Switch",0,"Novel14",1,"Novel17",0,1606,"eyescenter","4","0",0,1,(Dec 02 2013 16:00:56)
"139","A175ZTL2OZO9YU","Dec 02 2013","16:00:56",19,7,"Same",1,"Novel123",2,"Novel123",2,1014,"eyescenter","4","0",0,1,(Dec 02 2013 16:00:56)
"385","A1FKCYWMD3HCXU","Dec 02 2013","16:09:44",5,0,"Switch",0,"Novel16",1,"Novel9",2,1965,"eyescenter","4","0",0,1,(Dec 02 2013 16:09:44)
"387","A1FKCYWMD3HCXU","Dec 02 2013","16:09:44",7,1,"Same",0,"Novel57",1,"Novel57",1,2090,"eyescenter","4","0",0,1,(Dec 02 2013 16:09:44)
"389","A1FKCYWMD3HCXU","Dec 02 2013","16:09:44",9,2,"Switch",0,"Novel69",0,"Novel63",1,1311,"eyescenter","4","0",0,1,(Dec 02 2013 16:09:44)
"391","A1FKCYWMD3HCXU","Dec 02 2013","16:09:44",11,3,"Same",0,"Novel13",1,"Novel13",1,1981,"eyescenter","4","0",0,1,(Dec 02 2013 16:09:44)
"393","A1FKCYWMD3HCXU","Dec 02 2013","16:09:44",13,4,"Switch",1,"Novel120",2,"Novel99",0,1981,"eyescenter","4","0",0,1,(Dec 02 2013 16:09:44)
"395","A1FKCYWMD3HCXU","Dec 02 2013","16:09:44",15,5,"Same",1,"Novel82",3,"Novel82",3,1248,"eyescenter","4","0",0,1,(Dec 02 2013 16:09:44)
"397","A1FKCYWMD3HCXU","Dec 02 2013","16:09:44",17,6,"Switch",1,"Novel73",1,"Novel123",2,1354,"eyescenter","4","0",0,1,(Dec 02 2013 16:09:44)
"399","A1FKCYWMD3HCXU","Dec 02 2013","16:09:44",19,7,"Same",1,"Novel37",0,"Novel37",0,764,"eyescenter","4","0",0,1,(Dec 02 2013 16:09:44)
"145","A1JT53BJT9J5HU","Dec 02 2013","16:02:13",5,0,"Switch",0,"Novel73",1,"Novel96",2,2849,"eyescenter","4","0",0,1,(Dec 02 2013 16:02:13)
"147","A1JT53BJT9J5HU","Dec 02 2013","16:02:13",7,1,"Same",1,"Novel38",2,"Novel38",2,3564,"eyescenter","4","0",0,1,(Dec 02 2013 16:02:13)
"149","A1JT53BJT9J5HU","Dec 02 2013","16:02:13",9,2,"Switch",1,"Novel102",1,"Novel103",2,1961,"eyescenter","4","0",0,1,(Dec 02 2013 16:02:13)
"151","A1JT53BJT9J5HU","Dec 02 2013","16:02:13",11,3,"Same",1,"Novel68",0,"Novel68",0,1919,"eyescenter","4","0",0,1,(Dec 02 2013 16:02:13)
"153","A1JT53BJT9J5HU","Dec 02 2013","16:02:13",13,4,"Switch",1,"Novel17",1,"Novel107",2,1910,"eyescenter","4","0",0,1,(Dec 02 2013 16:02:13)
"155","A1JT53BJT9J5HU","Dec 02 2013","16:02:13",15,5,"Same",0,"Novel42",1,"Novel42",1,1504,"eyescenter","4","0",0,1,(Dec 02 2013 16:02:13)
"157","A1JT53BJT9J5HU","Dec 02 2013","16:02:13",17,6,"Switch",0,"Novel65",1,"Novel135",0,1959,"eyescenter","4","0",0,1,(Dec 02 2013 16:02:13)
"159","A1JT53BJT9J5HU","Dec 02 2013","16:02:13",19,7,"Same",0,"Novel92",3,"Novel92",3,2038,"eyescenter","4","0",0,1,(Dec 02 2013 16:02:13)
"285","A1KMAROXODYNCC","Dec 02 2013","16:04:28",5,0,"Same",1,"Novel126",2,"Novel126",2,3342,"eyescenter","4","0",0,1,(Dec 02 2013 16:04:28)
"287","A1KMAROXODYNCC","Dec 02 2013","16:04:28",7,1,"Switch",0,"Novel22",1,"Novel39",0,1364,"eyescenter","4","0",0,1,(Dec 02 2013 16:04:28)
"289","A1KMAROXODYNCC","Dec 02 2013","16:04:28",9,2,"Same",0,"Novel132",1,"Novel132",1,1743,"eyescenter","4","0",0,1,(Dec 02 2013 16:04:28)
"291","A1KMAROXODYNCC","Dec 02 2013","16:04:28",11,3,"Switch",1,"Novel23",3,"Novel131",0,1457,"eyescenter","4","0",0,1,(Dec 02 2013 16:04:28)
"293","A1KMAROXODYNCC","Dec 02 2013","16:04:28",13,4,"Same",1,"Novel46",2,"Novel46",2,1456,"eyescenter","4","0",0,1,(Dec 02 2013 16:04:28)
"295","A1KMAROXODYNCC","Dec 02 2013","16:04:28",15,5,"Switch",1,"Novel94",1,"Novel63",3,1501,"eyescenter","4","0",0,1,(Dec 02 2013 16:04:28)
"297","A1KMAROXODYNCC","Dec 02 2013","16:04:28",17,6,"Same",0,"Novel83",0,"Novel83",0,1114,"eyescenter","4","0",0,1,(Dec 02 2013 16:04:28)
"299","A1KMAROXODYNCC","Dec 02 2013","16:04:28",19,7,"Switch",0,"Novel45",2,"Novel129",3,1064,"eyescenter","4","0",0,1,(Dec 02 2013 16:04:28)
"185","A1LJ5F9TIW88ND","Dec 02 2013","16:02:41",5,0,"Same",1,"Novel9",1,"Novel9",1,4462,"eyescenter","4","0",0,1,(Dec 02 2013 16:02:41)
"187","A1LJ5F9TIW88ND","Dec 02 2013","16:02:41",7,1,"Switch",0,"Novel134",3,"Novel47",1,2231,"eyescenter","4","0",0,1,(Dec 02 2013 16:02:41)
"189","A1LJ5F9TIW88ND","Dec 02 2013","16:02:41",9,2,"Same",0,"Novel72",2,"Novel72",2,1529,"eyescenter","4","0",0,1,(Dec 02 2013 16:02:41)
"191","A1LJ5F9TIW88ND","Dec 02 2013","16:02:41",11,3,"Switch",1,"Novel130",3,"Novel56",2,1903,"eyescenter","4","0",0,1,(Dec 02 2013 16:02:41)
"193","A1LJ5F9TIW88ND","Dec 02 2013","16:02:41",13,4,"Same",1,"Novel35",3,"Novel35",3,1857,"eyescenter","4","0",0,1,(Dec 02 2013 16:02:41)
"195","A1LJ5F9TIW88ND","Dec 02 2013","16:02:41",15,5,"Switch",1,"Novel120",2,"Novel88",1,2106,"eyescenter","4","0",0,1,(Dec 02 2013 16:02:41)
"197","A1LJ5F9TIW88ND","Dec 02 2013","16:02:41",17,6,"Same",0,"Novel48",3,"Novel48",3,2137,"eyescenter","4","0",0,1,(Dec 02 2013 16:02:41)
"199","A1LJ5F9TIW88ND","Dec 02 2013","16:02:41",19,7,"Switch",0,"Novel5",3,"Novel96",1,1045,"eyescenter","4","0",0,1,(Dec 02 2013 16:02:41)
"465","A1OQIXAU1SEJ4P","Dec 02 2013","16:23:39",5,0,"Same",0,"Novel112",3,"Novel112",3,3760,"eyescenter","4","0",0,1,(Dec 02 2013 16:23:39)
"467","A1OQIXAU1SEJ4P","Dec 02 2013","16:23:39",7,1,"Switch",0,"Novel137",3,"Novel56",0,6396,"eyescenter","4","0",0,1,(Dec 02 2013 16:23:39)
"469","A1OQIXAU1SEJ4P","Dec 02 2013","16:23:39",9,2,"Same",1,"Novel9",2,"Novel9",2,2122,"eyescenter","4","0",0,1,(Dec 02 2013 16:23:39)
"471","A1OQIXAU1SEJ4P","Dec 02 2013","16:23:39",11,3,"Switch",0,"Novel117",3,"Novel26",0,4462,"eyescenter","4","0",0,1,(Dec 02 2013 16:23:39)
"473","A1OQIXAU1SEJ4P","Dec 02 2013","16:23:39",13,4,"Same",0,"Novel94",0,"Novel94",0,3182,"eyescenter","4","0",0,1,(Dec 02 2013 16:23:39)
"475","A1OQIXAU1SEJ4P","Dec 02 2013","16:23:39",15,5,"Switch",1,"Novel76",0,"Novel55",3,3604,"eyescenter","4","0",0,1,(Dec 02 2013 16:23:39)
"477","A1OQIXAU1SEJ4P","Dec 02 2013","16:23:39",17,6,"Same",1,"Novel124",3,"Novel124",3,2200,"eyescenter","4","0",0,1,(Dec 02 2013 16:23:39)
"479","A1OQIXAU1SEJ4P","Dec 02 2013","16:23:39",19,7,"Switch",1,"Novel97",3,"Novel32",0,2824,"eyescenter","4","0",0,1,(Dec 02 2013 16:23:39)
"25","A25ZADCJI3D5AF","Dec 02 2013","15:56:49",5,0,"Same",1,"Novel86",1,"Novel86",1,4652,"eyescenter","4","0",0,1,(Dec 02 2013 15:56:49)
"27","A25ZADCJI3D5AF","Dec 02 2013","15:56:49",7,1,"Switch",1,"Novel102",2,"Novel70",1,4345,"eyescenter","4","0",0,1,(Dec 02 2013 15:56:49)
"29","A25ZADCJI3D5AF","Dec 02 2013","15:56:49",9,2,"Same",0,"Novel108",1,"Novel108",1,2043,"eyescenter","4","0",0,1,(Dec 02 2013 15:56:49)
"31","A25ZADCJI3D5AF","Dec 02 2013","15:56:49",11,3,"Switch",1,"Novel17",1,"Novel125",2,3394,"eyescenter","4","0",0,1,(Dec 02 2013 15:56:49)
"33","A25ZADCJI3D5AF","Dec 02 2013","15:56:49",13,4,"Same",1,"Novel110",1,"Novel110",1,1903,"eyescenter","4","0",0,1,(Dec 02 2013 15:56:49)
