"submit.date","submit.time","trial.num","gazeLength","condition","interval","numPic","browser","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","face","faceIdx","trial_cat","intervalNum","include","first.trial","numPicN","correct","subids","block","include_good_rt","condition_trial","mean_acc_exp","correct_exposure","rt_exposure"
"Jan 09 2015","05:04:06",9,"Live","SocialFirst","Three",4,"Firefox",0,"Switch",0,"Novel69",0,"Novel23",2,3057,"straight-ahead",-1,"test",3,TRUE,TRUE,4,FALSE,1,"first","include","social",1,TRUE,1391
"Jan 09 2015","05:04:06",10,"Live","SocialFirst","Three",4,"Firefox",1,"Same",0,"Novel107",2,"Novel5",1,1977,"straight-ahead",-1,"test",3,TRUE,FALSE,4,FALSE,1,"first","include","social",1,TRUE,690
"Jan 09 2015","05:04:06",11,"Live","SocialFirst","Three",4,"Firefox",2,"Switch",1,"Novel129",1,"Novel136",2,2472,"straight-ahead",-1,"test",3,TRUE,FALSE,4,FALSE,1,"first","include","social",1,TRUE,691
"Jan 09 2015","05:04:06",12,"Live","SocialFirst","Three",4,"Firefox",3,"Same",0,"Novel25",2,"Novel25",3,2750,"straight-ahead",-1,"test",3,TRUE,FALSE,4,TRUE,1,"first","include","social",1,TRUE,2113
"Jan 09 2015","05:04:06",17,"Live","SocialFirst","Three",4,"Firefox",4,"Switch",0,"Novel98",3,"Novel98",0,1591,"straight-ahead",-1,"test",3,TRUE,FALSE,4,TRUE,1,"first","include","social",1,TRUE,878
"Jan 09 2015","05:04:06",18,"Live","SocialFirst","Three",4,"Firefox",5,"Same",1,"Novel126",1,"Novel57",0,1116,"straight-ahead",-1,"test",3,TRUE,FALSE,4,FALSE,1,"first","include","social",1,TRUE,301
"Jan 09 2015","05:04:06",19,"Live","SocialFirst","Three",4,"Firefox",6,"Switch",1,"Novel49",0,"Novel21",3,940,"straight-ahead",-1,"test",3,TRUE,FALSE,4,FALSE,1,"first","include","social",1,TRUE,210
"Jan 09 2015","05:04:06",20,"Live","SocialFirst","Three",4,"Firefox",7,"Same",1,"Novel109",2,"Novel14",0,739,"straight-ahead",-1,"test",3,TRUE,FALSE,4,FALSE,1,"first","include","social",1,TRUE,169
"Jan 09 2015","05:04:06",25,"Live","SocialFirst","Three",4,"Firefox",8,"Switch",0,"Novel61",3,"Novel43",0,1078,"straight-ahead",-1,"test",3,TRUE,FALSE,4,FALSE,1,"second","include","no-social",1,FALSE,1077
"Jan 09 2015","05:04:06",26,"Live","SocialFirst","Three",4,"Firefox",9,"Same",0,"Novel115",0,"Novel46",3,669,"straight-ahead",-1,"test",3,TRUE,FALSE,4,FALSE,1,"second","include","no-social",1,FALSE,1031
"Jan 09 2015","05:04:06",27,"Live","SocialFirst","Three",4,"Firefox",10,"Switch",1,"Novel92",1,"Novel92",1,536,"straight-ahead",-1,"test",3,TRUE,FALSE,4,TRUE,1,"second","include","no-social",1,FALSE,612
"Jan 09 2015","05:04:06",33,"Live","SocialFirst","Three",4,"Firefox",12,"Switch",0,"Novel55",0,"Novel140",3,490,"straight-ahead",-1,"test",3,TRUE,FALSE,4,FALSE,1,"second","include","no-social",1,FALSE,488
"Jan 09 2015","05:04:06",34,"Live","SocialFirst","Three",4,"Firefox",13,"Same",1,"Novel40",2,"Novel77",3,513,"straight-ahead",-1,"test",3,TRUE,FALSE,4,FALSE,1,"second","include","no-social",1,FALSE,644
"Jan 09 2015","05:04:06",35,"Live","SocialFirst","Three",4,"Firefox",14,"Switch",1,"Novel11",1,"Novel11",1,539,"straight-ahead",-1,"test",3,TRUE,FALSE,4,TRUE,1,"second","include","no-social",1,FALSE,661
"Jan 09 2015","05:04:06",36,"Live","SocialFirst","Three",4,"Firefox",15,"Same",1,"Novel93",3,"Novel93",3,540,"straight-ahead",-1,"test",3,TRUE,FALSE,4,TRUE,1,"second","include","no-social",1,FALSE,1341
