subid,run_date,birthday,gender,condition_expt,include ,version_expt,notes
1,7/29/14,9/23/09,f,social,0,pilot,
2,7/29/14,3/16/11,m,social,0,pilot,
3,7/29/14,11/23/08,f,social,0,pilot,
4,7/29/14,10/22/09,f,social,0,pilot,
5,7/31/14,5/24/09,f,social,1,v1,
6,7/31/14,6/4/09,m,social,1,v1,
7,7/31/14,11/30/09,f,social,1,v1,
8,7/31/14,7/13/10,f,social,1,v1,
9,7/31/14,5/17/10,m,no-social,1,v1,
10,7/31/14,7/27/10,m,no-social,1,v1,
11,7/31/14,4/21/10,f,no-social,1,v1,
12,8/1/14,6/10/10,f,social,1,v1,
13,8/1/14,5/6/10,m,social,1,v1,
14,8/1/14,7/1/09,f,no-social,1,v1,
15,8/1/14,5/15/09,f,social,1,v1,
16,8/1/14,6/7/09,m,no-social,1,v1,
17,8/4/14,8/31/10,m,social,1,v1,
18,8/5/14,12/10/08,f,no-social,1,v1,
19,8/5/14,4/24/10,m,social,1,v1,
20,8/5/14,9/25/09,f,no-social,1,v1,
21,8/5/14,6/16/11,f,social,1,v1,
22,8/5/14,9/23/09,m,no-social,1,v1,
23,8/6/14,11/25/08,f,no-social,1,v1,
24,8/6/14,9/14/09,f,social,1,v1,
25,8/7/14,2/9/10,f,no-social,1,v1,started using new expt that has set order for trial types
26,8/18/14,11/24/08,m,social,1,v2,
27,8/18/14,8/7/09,m,no-social,1,v2,
28,8/18/14,7/2/09,m,social,1,v2,
29,8/18/14,1/15/10,f,no-social,1,v2,
30,8/18/14,1/8/08,f,no-social,1,v2,
31,8/21/14,5/15/09,m,social,1,v2,
32,8/21/14,6/8/10,f,no-social,1,v2,
33,8/21/14,6/19/09,m,no-social,1,v2,
34,8/21/14,9/30/09,m,social,1,v2,
35,8/21/14,1/26/09,m,no-social,1,v2,
36,8/21/14,2/6/11,f,social,1,v2,
37,8/21/14,3/29/09,f,no-social,1,v2,
38,8/21/14,6/29/06,f,no-social,0,v2,age exclusion 
39,10/1/14,2/13/10,m,social,1,v2,started using new expt version that tracks subid
40,10/8/14,4/3/10,f,no-social,1,v2,
41,10/8/14,11/11/09,f,social,1,v2,
42,10/8/14,7/30/10,f,no-social,1,v2,
44,10/17/14,5/27/10,f,social,1,v2,
45,10/17/14,1/24/11,m,no-social,1,v2,
46,10/17/14,7/3/10,m,social,1,v2,
47,10/17/14,7/30/11,f,no-social,1,v2,
48,10/22/14,6/26/10,f,social,1,v2,
49,10/22/14,11/16/10,m,no-social,1,v2,
50,10/24/14,4/19/10,m,social,1,v2,
51,10/24/14,10/25/10,m,no-social,1,v2,
52,1/9/15,4/12/11,f,social,1,v2,
53,1/9/15,7/6/11,f,no-social,1,v2,
54,1/9/15,6/25/10,m,social,1,v2,
55,1/9/15,10/6/09,m,no-social,1,v2,
56,1/9/15,1/3/11,m,social,1,v2,
57,1/9/15,10/5/12,f,no-social,0,v2,side bias
58,1/15/15,7/16/12,f,no-social,1,v2,
59,1/15/15,11/29/10,f,no-social,1,v2,
60,1/15/15,3/25/11,m,social,1,v2,
61,1/15/15,12/16/11,m,social,1,v2,
62,1/15/15,2/23/12,m,no-social,0,v2,side bias
63,1/15/15,6/16/11,f,no-social,1,v2,
64,1/15/15,5/24/11,m,social,0,v2,mom influenced responses
65,1/15/15,5/17/10,f,social,1,v2,
66,1/15/15,9/15/10,f,no-social,1,v2,
67,1/15/15,1/14/11,f,social,1,v2,
68,1/15/15,12/18/10,f,no-social,1,v2,
69,1/15/15,6/5/12,m,social,1,v2,
70,1/15/15,7/5/10,f,no-social,1,v2,
