"subid","submit.date","submit.time","trial.num","gazeLength","condition","interval","numPic","browser","itemNum","trialType","chosen","chosenIdx","kept","keptIdx","rt","face","faceIdx","example_trial","exposure_trial","test_trial","day.and.time","intervalNum","include","first.trial","numPicN","correct"
"A10K935NTPPOIJ","Aug 12 2014","16:00:44",1,"Short","This","Zero",4,"Chrome",0,"Same","flower",0,"",0,4968,"straightaheadlonger",-1,1,0,0,(Aug 12 2014 16:00:44),0,TRUE,FALSE,4,FALSE
"A10K935NTPPOIJ","Aug 12 2014","16:00:44",2,"Short","This","Zero",4,"Chrome",0,"Same","flower",0,"",0,2758,"straightaheadlonger",-1,1,0,0,(Aug 12 2014 16:00:44),0,TRUE,FALSE,4,FALSE
"A10K935NTPPOIJ","Aug 12 2014","16:00:44",3,"Short","This","Zero",4,"Chrome",0,"Same","truck",1,"",0,1348,"straightaheadlonger",-1,1,0,0,(Aug 12 2014 16:00:44),0,TRUE,FALSE,4,FALSE
"A10K935NTPPOIJ","Aug 12 2014","16:00:44",4,"Short","This","Zero",4,"Chrome",0,"Same","truck",2,"",0,279,"straightaheadlonger",-1,1,0,0,(Aug 12 2014 16:00:44),0,TRUE,FALSE,4,FALSE
"A10K935NTPPOIJ","Aug 12 2014","16:00:44",5,"Short","This","Zero",4,"Chrome",0,"Same","Novel119",1,"Novel119",1,1860,"RUkidslonger",3,0,1,0,(Aug 12 2014 16:00:44),0,TRUE,FALSE,4,TRUE
"A10K935NTPPOIJ","Aug 12 2014","16:00:44",6,"Short","This","Zero",4,"Chrome",0,"Same","Novel119",1,"Novel119",1,1200,"straightaheadlonger",-1,0,0,1,(Aug 12 2014 16:00:44),0,TRUE,TRUE,4,TRUE
"A10K935NTPPOIJ","Aug 12 2014","16:00:44",7,"Short","This","Zero",4,"Chrome",1,"Switch","Novel22",1,"Novel18",3,2169,"RUkidslonger",3,0,1,0,(Aug 12 2014 16:00:44),0,TRUE,FALSE,4,FALSE
"A10K935NTPPOIJ","Aug 12 2014","16:00:44",8,"Short","This","Zero",4,"Chrome",1,"Switch","Novel18",3,"Novel18",3,2149,"straightaheadlonger",-1,0,0,1,(Aug 12 2014 16:00:44),0,TRUE,FALSE,4,TRUE
"A10K935NTPPOIJ","Aug 12 2014","16:00:44",9,"Short","This","Zero",4,"Chrome",2,"Same","Novel114",0,"Novel114",0,3806,"LUkidslonger",1,0,1,0,(Aug 12 2014 16:00:44),0,TRUE,FALSE,4,TRUE
"A10K935NTPPOIJ","Aug 12 2014","16:00:44",10,"Short","This","Zero",4,"Chrome",2,"Same","Novel114",1,"Novel114",0,859,"straightaheadlonger",-1,0,0,1,(Aug 12 2014 16:00:44),0,TRUE,FALSE,4,TRUE
"A10K935NTPPOIJ","Aug 12 2014","16:00:44",11,"Short","This","Zero",4,"Chrome",3,"Switch","Novel77",3,"Novel81",0,1927,"RDkidslonger",2,0,1,0,(Aug 12 2014 16:00:44),0,TRUE,FALSE,4,FALSE
"A10K935NTPPOIJ","Aug 12 2014","16:00:44",12,"Short","This","Zero",4,"Chrome",3,"Switch","Novel51",0,"Novel81",0,2266,"straightaheadlonger",-1,0,0,1,(Aug 12 2014 16:00:44),0,TRUE,FALSE,4,FALSE
"A10K935NTPPOIJ","Aug 12 2014","16:00:44",13,"Short","This","Zero",4,"Chrome",4,"Same","Novel59",2,"Novel59",2,5170,"LDkidslonger",0,0,1,0,(Aug 12 2014 16:00:44),0,TRUE,FALSE,4,TRUE
"A10K935NTPPOIJ","Aug 12 2014","16:00:44",14,"Short","This","Zero",4,"Chrome",4,"Same","Novel59",2,"Novel59",2,775,"straightaheadlonger",-1,0,0,1,(Aug 12 2014 16:00:44),0,TRUE,FALSE,4,TRUE
"A10K935NTPPOIJ","Aug 12 2014","16:00:44",15,"Short","This","Zero",4,"Chrome",5,"Switch","Novel66",2,"Novel111",0,2571,"LDkidslonger",0,0,1,0,(Aug 12 2014 16:00:44),0,TRUE,FALSE,4,FALSE
"A10K935NTPPOIJ","Aug 12 2014","16:00:44",16,"Short","This","Zero",4,"Chrome",5,"Switch","Novel129",2,"Novel111",0,7055,"straightaheadlonger",-1,0,0,1,(Aug 12 2014 16:00:44),0,TRUE,FALSE,4,FALSE
"A118DWOXWSI8VC","Aug 12 2014","16:25:04",1,"Short","One","Zero",4,"Firefox",0,"Switch","flower",0,"",0,1622,"straightaheadlonger",-1,1,0,0,(Aug 12 2014 16:25:04),0,TRUE,FALSE,4,FALSE
"A118DWOXWSI8VC","Aug 12 2014","16:25:04",2,"Short","One","Zero",4,"Firefox",0,"Switch","flower",0,"",0,1843,"straightaheadlonger",-1,1,0,0,(Aug 12 2014 16:25:04),0,TRUE,FALSE,4,FALSE
"A118DWOXWSI8VC","Aug 12 2014","16:25:04",3,"Short","One","Zero",4,"Firefox",0,"Switch","truck",1,"",0,544,"straightaheadlonger",-1,1,0,0,(Aug 12 2014 16:25:04),0,TRUE,FALSE,4,FALSE
"A118DWOXWSI8VC","Aug 12 2014","16:25:04",4,"Short","One","Zero",4,"Firefox",0,"Switch","truck",2,"",0,1025,"straightaheadlonger",-1,1,0,0,(Aug 12 2014 16:25:04),0,TRUE,FALSE,4,FALSE
"A118DWOXWSI8VC","Aug 12 2014","16:25:04",5,"Short","One","Zero",4,"Firefox",0,"Switch","Novel75",3,"Novel51",0,3894,"LDkidslonger",0,0,1,0,(Aug 12 2014 16:25:04),0,TRUE,FALSE,4,FALSE
"A118DWOXWSI8VC","Aug 12 2014","16:25:04",6,"Short","One","Zero",4,"Firefox",0,"Switch","Novel7",2,"Novel51",0,2211,"straightaheadlonger",-1,0,0,1,(Aug 12 2014 16:25:04),0,TRUE,TRUE,4,FALSE
"A118DWOXWSI8VC","Aug 12 2014","16:25:04",7,"Short","One","Zero",4,"Firefox",1,"Same","Novel23",3,"Novel23",3,2280,"LUkidslonger",1,0,1,0,(Aug 12 2014 16:25:04),0,TRUE,FALSE,4,TRUE
"A118DWOXWSI8VC","Aug 12 2014","16:25:04",8,"Short","One","Zero",4,"Firefox",1,"Same","Novel23",2,"Novel23",3,1129,"straightaheadlonger",-1,0,0,1,(Aug 12 2014 16:25:04),0,TRUE,FALSE,4,TRUE
"A118DWOXWSI8VC","Aug 12 2014","16:25:04",9,"Short","One","Zero",4,"Firefox",2,"Switch","Novel108",3,"Novel11",1,3123,"LUkidslonger",1,0,1,0,(Aug 12 2014 16:25:04),0,TRUE,FALSE,4,FALSE
"A118DWOXWSI8VC","Aug 12 2014","16:25:04",10,"Short","One","Zero",4,"Firefox",2,"Switch","Novel13",3,"Novel11",1,1678,"straightaheadlonger",-1,0,0,1,(Aug 12 2014 16:25:04),0,TRUE,FALSE,4,FALSE
"A118DWOXWSI8VC","Aug 12 2014","16:25:04",11,"Short","One","Zero",4,"Firefox",3,"Same","Novel69",1,"Novel69",1,2770,"LDkidslonger",0,0,1,0,(Aug 12 2014 16:25:04),0,TRUE,FALSE,4,TRUE
"A118DWOXWSI8VC","Aug 12 2014","16:25:04",12,"Short","One","Zero",4,"Firefox",3,"Same","Novel112",1,"Novel69",1,2061,"straightaheadlonger",-1,0,0,1,(Aug 12 2014 16:25:04),0,TRUE,FALSE,4,FALSE
"A118DWOXWSI8VC","Aug 12 2014","16:25:04",13,"Short","One","Zero",4,"Firefox",4,"Switch","Novel105",0,"Novel96",1,1637,"RUkidslonger",3,0,1,0,(Aug 12 2014 16:25:04),0,TRUE,FALSE,4,FALSE
"A118DWOXWSI8VC","Aug 12 2014","16:25:04",14,"Short","One","Zero",4,"Firefox",4,"Switch","Novel101",1,"Novel96",1,4046,"straightaheadlonger",-1,0,0,1,(Aug 12 2014 16:25:04),0,TRUE,FALSE,4,FALSE
"A118DWOXWSI8VC","Aug 12 2014","16:25:04",15,"Short","One","Zero",4,"Firefox",5,"Same","Novel109",3,"Novel109",3,3347,"LDkidslonger",0,0,1,0,(Aug 12 2014 16:25:04),0,TRUE,FALSE,4,TRUE
"A118DWOXWSI8VC","Aug 12 2014","16:25:04",16,"Short","One","Zero",4,"Firefox",5,"Same","Novel109",3,"Novel109",3,936,"straightaheadlonger",-1,0,0,1,(Aug 12 2014 16:25:04),0,TRUE,FALSE,4,TRUE
"A13MDV9AYEN144","Aug 12 2014","15:43:34",1,"Short","One","Zero",4,"Chrome",0,"Same","flower",0,"",0,2235,"straightaheadlonger",-1,1,0,0,(Aug 12 2014 15:43:34),0,TRUE,FALSE,4,FALSE
"A13MDV9AYEN144","Aug 12 2014","15:43:34",2,"Short","One","Zero",4,"Chrome",0,"Same","flower",0,"",0,1848,"straightaheadlonger",-1,1,0,0,(Aug 12 2014 15:43:34),0,TRUE,FALSE,4,FALSE
"A13MDV9AYEN144","Aug 12 2014","15:43:34",3,"Short","One","Zero",4,"Chrome",0,"Same","truck",1,"",0,283,"straightaheadlonger",-1,1,0,0,(Aug 12 2014 15:43:34),0,TRUE,FALSE,4,FALSE
"A13MDV9AYEN144","Aug 12 2014","15:43:34",4,"Short","One","Zero",4,"Chrome",0,"Same","truck",2,"",0,250,"straightaheadlonger",-1,1,0,0,(Aug 12 2014 15:43:34),0,TRUE,FALSE,4,FALSE
"A13MDV9AYEN144","Aug 12 2014","15:43:34",5,"Short","One","Zero",4,"Chrome",0,"Same","Novel2",0,"Novel2",0,1861,"RDkidslonger",2,0,1,0,(Aug 12 2014 15:43:34),0,TRUE,FALSE,4,TRUE
"A13MDV9AYEN144","Aug 12 2014","15:43:34",6,"Short","One","Zero",4,"Chrome",0,"Same","Novel2",0,"Novel2",0,2147,"straightaheadlonger",-1,0,0,1,(Aug 12 2014 15:43:34),0,TRUE,TRUE,4,TRUE
"A13MDV9AYEN144","Aug 12 2014","15:43:34",7,"Short","One","Zero",4,"Chrome",1,"Switch","Novel13",1,"Novel85",2,2171,"LDkidslonger",0,0,1,0,(Aug 12 2014 15:43:34),0,TRUE,FALSE,4,FALSE
"A13MDV9AYEN144","Aug 12 2014","15:43:34",8,"Short","One","Zero",4,"Chrome",1,"Switch","Novel85",2,"Novel85",2,2588,"straightaheadlonger",-1,0,0,1,(Aug 12 2014 15:43:34),0,TRUE,FALSE,4,TRUE
"A13MDV9AYEN144","Aug 12 2014","15:43:34",9,"Short","One","Zero",4,"Chrome",2,"Same","Novel75",0,"Novel75",0,3171,"LDkidslonger",0,0,1,0,(Aug 12 2014 15:43:34),0,TRUE,FALSE,4,TRUE
"A13MDV9AYEN144","Aug 12 2014","15:43:34",10,"Short","One","Zero",4,"Chrome",2,"Same","Novel75",0,"Novel75",0,725,"straightaheadlonger",-1,0,0,1,(Aug 12 2014 15:43:34),0,TRUE,FALSE,4,TRUE
"A13MDV9AYEN144","Aug 12 2014","15:43:34",11,"Short","One","Zero",4,"Chrome",3,"Switch","Novel94",3,"Novel7",1,2333,"RDkidslonger",2,0,1,0,(Aug 12 2014 15:43:34),0,TRUE,FALSE,4,FALSE
"A13MDV9AYEN144","Aug 12 2014","15:43:34",12,"Short","One","Zero",4,"Chrome",3,"Switch","Novel7",0,"Novel7",1,722,"straightaheadlonger",-1,0,0,1,(Aug 12 2014 15:43:34),0,TRUE,FALSE,4,TRUE
"A13MDV9AYEN144","Aug 12 2014","15:43:34",13,"Short","One","Zero",4,"Chrome",4,"Same","Novel22",1,"Novel22",1,5700,"RUkidslonger",3,0,1,0,(Aug 12 2014 15:43:34),0,TRUE,FALSE,4,TRUE
"A13MDV9AYEN144","Aug 12 2014","15:43:34",14,"Short","One","Zero",4,"Chrome",4,"Same","Novel22",2,"Novel22",1,3875,"straightaheadlonger",-1,0,0,1,(Aug 12 2014 15:43:34),0,TRUE,FALSE,4,TRUE
"A13MDV9AYEN144","Aug 12 2014","15:43:34",15,"Short","One","Zero",4,"Chrome",5,"Switch","Novel119",2,"Novel135",1,10819,"LDkidslonger",0,0,1,0,(Aug 12 2014 15:43:34),0,TRUE,FALSE,4,FALSE
"A13MDV9AYEN144","Aug 12 2014","15:43:34",16,"Short","One","Zero",4,"Chrome",5,"Switch","Novel135",1,"Novel135",1,2748,"straightaheadlonger",-1,0,0,1,(Aug 12 2014 15:43:34),0,TRUE,FALSE,4,TRUE
"A179OX1482SRXK","Aug 12 2014","16:00:40",1,"Short","This","Zero",4,"Chrome",0,"Same","flower",0,"",0,2073,"straightaheadlonger",-1,1,0,0,(Aug 12 2014 16:00:40),0,TRUE,FALSE,4,FALSE
"A179OX1482SRXK","Aug 12 2014","16:00:40",2,"Short","This","Zero",4,"Chrome",0,"Same","flower",0,"",0,1203,"straightaheadlonger",-1,1,0,0,(Aug 12 2014 16:00:40),0,TRUE,FALSE,4,FALSE
"A179OX1482SRXK","Aug 12 2014","16:00:40",3,"Short","This","Zero",4,"Chrome",0,"Same","truck",1,"",0,655,"straightaheadlonger",-1,1,0,0,(Aug 12 2014 16:00:40),0,TRUE,FALSE,4,FALSE
"A179OX1482SRXK","Aug 12 2014","16:00:40",4,"Short","This","Zero",4,"Chrome",0,"Same","truck",2,"",0,489,"straightaheadlonger",-1,1,0,0,(Aug 12 2014 16:00:40),0,TRUE,FALSE,4,FALSE
