subid,gender,age,age_group,condition,trial,itemNum,trialType,samePos,chosen,chosen_idx,kept,kept_idx,rt,faceVid,faceIdx,trial_cat,correct,include,version_expt,condition_expt,trial_type_redo,chosen_exposure,kept_exposure,correct_exposure,faceVid_expo,faceVid_expo_idx
1,f,4.1,4,Social,4,0,1,0,Novel2,1,Novel2,0,1897,LDkidslonger,0,test,TRUE,0,pilot,social,Same,Novel2,Novel2,TRUE,NA,NA
1,f,4.1,4,Social,6,1,1,1,Novel13,1,Novel5,0,2076,RDkidslonger,1,test,FALSE,0,pilot,social,Switch,Novel11,Novel5,TRUE,NA,NA
1,f,4.1,4,Social,8,2,2,1,Novel6,0,Novel6,0,2398,LDkidslonger,0,test,TRUE,0,pilot,social,Switch,Novel23,Novel6,FALSE,NA,NA
1,f,4.1,4,Social,10,3,2,0,Novel7,0,Novel4,0,1803,LDkidslonger,0,test,FALSE,0,pilot,social,Switch,Novel22,Novel4,FALSE,NA,NA
1,f,4.1,4,Social,12,4,1,[undefined],Novel25,0,Novel27,0,2192,LDkidslonger,0,test,FALSE,0,pilot,social,Same,Novel27,Novel27,TRUE,NA,NA
1,f,4.1,4,Social,14,5,2,[undefined],Novel8,0,Novel20,0,1568,RDkidslonger,1,test,FALSE,0,pilot,social,Same,Novel20,Novel20,FALSE,NA,NA
2,m,3.04,3,Social,4,0,1,1,Novel9,1,Novel15,0,8708,RDkidslonger,1,test,FALSE,0,pilot,social,Switch,Novel6,Novel15,TRUE,NA,NA
2,m,3.04,3,Social,6,1,1,0,Novel13,1,Novel13,0,2801,LDkidslonger,0,test,TRUE,0,pilot,social,Same,Novel13,Novel13,TRUE,NA,NA
2,m,3.04,3,Social,8,2,2,1,Novel23,0,Novel11,1,3714,RDkidslonger,1,test,FALSE,0,pilot,social,Switch,Novel22,Novel11,FALSE,NA,NA
2,m,3.04,3,Social,10,3,2,0,Novel12,0,Novel12,1,4856,LDkidslonger,0,test,TRUE,0,pilot,social,Switch,Novel21,Novel12,TRUE,NA,NA
2,m,3.04,3,Social,12,4,1,[undefined],Novel19,0,Novel17,0,21426,RDkidslonger,1,test,FALSE,0,pilot,social,Same,Novel17,Novel17,FALSE,NA,NA
2,m,3.04,3,Social,14,5,2,[undefined],Novel7,1,Novel18,1,23307,LDkidslonger,0,test,FALSE,0,pilot,social,Switch,Novel8,Novel18,TRUE,NA,NA
3,f,5.08,5,Social,4,0,1,0,Novel21,0,Novel28,0,8497,LDkidslonger,0,test,FALSE,0,pilot,social,Switch,Novel24,Novel28,FALSE,NA,NA
3,f,5.08,5,Social,6,1,1,1,Novel6,1,Novel27,0,2789,LDkidslonger,0,test,FALSE,0,pilot,social,Same,Novel27,Novel27,TRUE,NA,NA
3,f,5.08,5,Social,8,2,2,0,Novel25,0,Novel23,0,4436,RDkidslonger,1,test,FALSE,0,pilot,social,Same,Novel23,Novel23,FALSE,NA,NA
3,f,5.08,5,Social,10,3,2,1,Novel26,0,Novel26,0,2127,LDkidslonger,0,test,TRUE,0,pilot,social,Switch,Novel9,Novel26,FALSE,NA,NA
3,f,5.08,5,Social,12,4,1,[undefined],Novel19,0,Novel4,0,7676,LDkidslonger,0,test,FALSE,0,pilot,social,Switch,Novel7,Novel4,FALSE,NA,NA
3,f,5.08,5,Social,14,5,2,[undefined],Novel11,0,Novel22,0,8400,LDkidslonger,0,test,FALSE,0,pilot,social,Same,Novel22,Novel22,TRUE,NA,NA
4,f,4.09,4,Social,4,0,1,1,Novel19,0,Novel19,0,3707,LDkidslonger,0,test,TRUE,0,pilot,social,Same,Novel19,Novel19,TRUE,NA,NA
4,f,4.09,4,Social,6,1,1,0,Novel26,1,Novel26,0,1165,RDkidslonger,1,test,TRUE,0,pilot,social,Same,Novel26,Novel26,FALSE,NA,NA
4,f,4.09,4,Social,8,2,2,0,Novel21,0,Novel21,1,1166,RDkidslonger,1,test,TRUE,0,pilot,social,Same,Novel21,Novel21,TRUE,NA,NA
4,f,4.09,4,Social,10,3,2,1,Novel24,1,Novel24,1,2029,LDkidslonger,0,test,TRUE,0,pilot,social,Same,Novel24,Novel24,FALSE,NA,NA
4,f,4.09,4,Social,12,4,1,[undefined],Novel23,1,Novel23,0,7442,RDkidslonger,1,test,TRUE,0,pilot,social,Switch,Novel17,Novel23,TRUE,NA,NA
4,f,4.09,4,Social,14,5,2,[undefined],Novel18,1,Novel18,0,1341,RDkidslonger,1,test,TRUE,0,pilot,social,Same,Novel18,Novel18,FALSE,NA,NA
5,f,5.02,5,Social,4,0,1,1,Novel12,1,Novel28,0,13488,RDkidslonger,1,test,FALSE,1,v1,social,Switch,Novel26,Novel28,TRUE,NA,NA
5,f,5.02,5,Social,6,1,1,0,Novel17,1,Novel17,0,2751,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel17,Novel17,TRUE,NA,NA
5,f,5.02,5,Social,8,2,2,1,Novel14,1,Novel23,0,1472,RDkidslonger,1,test,FALSE,1,v1,social,Switch,Novel13,Novel23,TRUE,NA,NA
5,f,5.02,5,Social,10,3,2,0,Novel24,0,Novel24,1,1047,LDkidslonger,0,test,TRUE,1,v1,social,Switch,Novel9,Novel24,TRUE,NA,NA
5,f,5.02,5,Social,12,4,1,1,Novel15,1,Novel18,0,1341,RDkidslonger,1,test,FALSE,1,v1,social,Switch,Novel16,Novel18,TRUE,NA,NA
5,f,5.02,5,Social,14,5,2,0,Novel5,0,Novel5,1,7918,LDkidslonger,0,test,TRUE,1,v1,social,Switch,Novel22,Novel5,TRUE,NA,NA
6,m,5.01,5,Social,4,0,1,1,Novel17,0,Novel17,0,1836,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel17,Novel17,TRUE,NA,NA
6,m,5.01,5,Social,6,1,1,0,Novel6,1,Novel6,0,4917,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel6,Novel6,TRUE,NA,NA
6,m,5.01,5,Social,8,2,2,1,Novel28,0,Novel3,1,3092,LDkidslonger,0,test,FALSE,1,v1,social,Switch,Novel7,Novel3,TRUE,NA,NA
6,m,5.01,5,Social,10,3,2,0,Novel10,1,Novel10,0,1827,RDkidslonger,1,test,TRUE,1,v1,social,Switch,Novel4,Novel10,TRUE,NA,NA
6,m,5.01,5,Social,12,4,1,1,Novel15,0,Novel15,0,441,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel15,Novel15,TRUE,NA,NA
6,m,5.01,5,Social,14,5,2,0,Novel16,0,Novel16,1,2080,RDkidslonger,1,test,TRUE,1,v1,social,Same,Novel16,Novel16,TRUE,NA,NA
7,f,4.08,4,Social,4,0,1,1,Novel16,1,Novel28,0,1916,RDkidslonger,1,test,FALSE,1,v1,social,Switch,Novel5,Novel28,TRUE,NA,NA
7,f,4.08,4,Social,6,1,1,0,Novel13,0,Novel14,0,1155,RDkidslonger,1,test,FALSE,1,v1,social,Same,Novel14,Novel14,FALSE,NA,NA
7,f,4.08,4,Social,8,2,2,0,Novel11,0,Novel11,1,2023,LDkidslonger,0,test,TRUE,1,v1,social,Switch,Novel21,Novel11,TRUE,NA,NA
7,f,4.08,4,Social,10,3,2,1,Novel17,0,Novel17,0,867,LDkidslonger,0,test,TRUE,1,v1,social,Same,Novel17,Novel17,TRUE,NA,NA
