"submit.date","submit.time","trial.num","gazeLength","condition","interval","numPic","browser","comments","itemNum","trialType","samePos","chosen","chosenIdx","gaze_target","trial_category","kept","keptIdx","rt","face","faceIdx","intervalNum","include","first.trial","numPicN","correct","block","subids"
"Jan 28 2015","03:39:21",1,"Live","100%_reliable","Zero",4,"Chrome","          ",0,"Same",1,"squirrel",0,"squirrel","example","",0,1677,"up-left-4sec",0,0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 28 2015","03:39:21",2,"Live","100%_reliable","Zero",4,"Chrome","          ",0,"Same",1,"tomato",1,"tomato","example","",0,1090,"up-right-4sec",1,0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 28 2015","03:39:21",3,"Live","100%_reliable","Zero",4,"Chrome","          ",0,"Same",1,"Novel5",1,"Novel5","exposure","Novel5",1,2989,"down-right-4sec",1,0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 28 2015","03:39:21",4,"Live","100%_reliable","Zero",4,"Chrome","          ",0,"Same",1,"Novel5",1,"NA","test","Novel5",1,1626,"straight-ahead",-1,0,TRUE,TRUE,4,TRUE,"familiarization","1"
"Jan 28 2015","03:39:21",5,"Live","100%_reliable","Zero",4,"Chrome","          ",1,"Same",0,"Novel6",1,"Novel6","exposure","Novel6",1,1235,"down-right-4sec",1,0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 28 2015","03:39:21",6,"Live","100%_reliable","Zero",4,"Chrome","          ",1,"Same",0,"Novel6",0,"NA","test","Novel6",1,1255,"straight-ahead",-1,0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 28 2015","03:39:21",7,"Live","100%_reliable","Zero",4,"Chrome","          ",2,"Same",1,"Novel15",1,"Novel15","exposure","Novel15",1,703,"down-right-4sec",1,0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 28 2015","03:39:21",8,"Live","100%_reliable","Zero",4,"Chrome","          ",2,"Same",1,"Novel36",0,"NA","test","Novel15",1,1011,"straight-ahead",-1,0,TRUE,FALSE,4,FALSE,"familiarization","1"
"Jan 28 2015","03:39:21",9,"Live","100%_reliable","Zero",4,"Chrome","          ",3,"Same",1,"Novel89",1,"Novel89","exposure","Novel89",1,691,"down-right-4sec",1,0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 28 2015","03:39:21",10,"Live","100%_reliable","Zero",4,"Chrome","          ",3,"Same",1,"Novel111",0,"NA","test","Novel89",1,1420,"straight-ahead",-1,0,TRUE,FALSE,4,FALSE,"familiarization","1"
"Jan 28 2015","03:39:21",11,"Live","100%_reliable","Zero",4,"Chrome","          ",4,"Same",0,"Novel12",1,"Novel12","exposure","Novel12",1,607,"down-right-4sec",1,0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 28 2015","03:39:21",12,"Live","100%_reliable","Zero",4,"Chrome","          ",4,"Same",0,"Novel12",0,"NA","test","Novel12",1,428,"straight-ahead",-1,0,TRUE,FALSE,4,TRUE,"familiarization","1"
