"submit.date","submit.time","trial.num","gazeLength","condition","interval","numPic","browser","itemNum","trialType","samePos","chosen","chosenIdx","gaze_target","trial_category","kept","keptIdx","rt","face","faceIdx","intervalNum","include","first.trial","numPicN","correct","block","subids"
"Jan 27 2015","11:30:40",1,"Live","100%_reliable","Zero",4,"Chrome",0,"Same",1,"squirrel",0,"squirrel","example","",0,1252,"up-left-4sec",0,0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 27 2015","11:30:40",2,"Live","100%_reliable","Zero",4,"Chrome",0,"Same",1,"tomato",1,"tomato","example","",0,1812,"up-right-4sec",1,0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 27 2015","11:30:40",3,"Live","100%_reliable","Zero",4,"Chrome",0,"Same",1,"NA",0,"Novel16","exposure","Novel16",0,4745,"down-left-4sec",0,0,TRUE,FALSE,4,FALSE,"familiarization","1"
"Jan 27 2015","11:30:40",4,"Live","100%_reliable","Zero",4,"Chrome",0,"Same",1,"Novel16",1,"NA","test","Novel16",0,2419,"straight-ahead",-1,0,TRUE,TRUE,4,TRUE,"familiarization","1"
"Jan 27 2015","11:30:40",5,"Live","100%_reliable","Zero",4,"Chrome",1,"Same",1,"NA",1,"Novel140","exposure","Novel140",1,1465,"down-right-4sec",1,0,TRUE,FALSE,4,FALSE,"familiarization","1"
"Jan 27 2015","11:30:40",6,"Live","100%_reliable","Zero",4,"Chrome",1,"Same",1,"Novel140",0,"NA","test","Novel140",1,375,"straight-ahead",-1,0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 27 2015","11:30:40",7,"Live","100%_reliable","Zero",4,"Chrome",2,"Same",0,"NA",1,"Novel98","exposure","Novel98",1,779,"down-right-4sec",1,0,TRUE,FALSE,4,FALSE,"familiarization","1"
"Jan 27 2015","11:30:40",8,"Live","100%_reliable","Zero",4,"Chrome",2,"Same",0,"Novel98",0,"NA","test","Novel98",1,158,"straight-ahead",-1,0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 27 2015","11:30:40",9,"Live","100%_reliable","Zero",4,"Chrome",3,"Same",0,"NA",1,"Novel2","exposure","Novel2",1,514,"down-right-4sec",1,0,TRUE,FALSE,4,FALSE,"familiarization","1"
"Jan 27 2015","11:30:40",10,"Live","100%_reliable","Zero",4,"Chrome",3,"Same",0,"Novel2",0,"NA","test","Novel2",1,926,"straight-ahead",-1,0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 27 2015","11:30:40",11,"Live","100%_reliable","Zero",4,"Chrome",4,"Same",1,"NA",0,"Novel96","exposure","Novel96",0,352,"down-left-4sec",0,0,TRUE,FALSE,4,FALSE,"familiarization","1"
"Jan 27 2015","11:30:40",12,"Live","100%_reliable","Zero",4,"Chrome",4,"Same",1,"Novel96",1,"NA","test","Novel96",0,489,"straight-ahead",-1,0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 27 2015","11:30:40",13,"Live","100%_reliable","Zero",4,"Chrome",5,"Same",1,"NA",0,"Novel91","exposure","Novel91",0,695,"down-left-4sec",0,0,TRUE,FALSE,4,FALSE,"familiarization","1"
"Jan 27 2015","11:30:40",14,"Live","100%_reliable","Zero",4,"Chrome",5,"Same",1,"Novel91",1,"NA","test","Novel91",0,261,"straight-ahead",-1,0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 27 2015","11:30:40",15,"Live","100%_reliable","Zero",4,"Chrome",6,"Same",0,"NA",0,"Novel53","exposure","Novel53",0,2120,"down-left-4sec",0,0,TRUE,FALSE,4,FALSE,"familiarization","1"
"Jan 27 2015","11:30:40",16,"Live","100%_reliable","Zero",4,"Chrome",6,"Same",0,"Novel53",1,"NA","test","Novel53",0,134,"straight-ahead",-1,0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 27 2015","11:30:40",17,"Live","100%_reliable","Zero",4,"Chrome",7,"Same",0,"NA",1,"Novel15","exposure","Novel15",1,421,"down-right-4sec",1,0,TRUE,FALSE,4,FALSE,"familiarization","1"
"Jan 27 2015","11:30:40",18,"Live","100%_reliable","Zero",4,"Chrome",7,"Same",0,"Novel15",0,"NA","test","Novel15",1,533,"straight-ahead",-1,0,TRUE,FALSE,4,TRUE,"familiarization","1"
"Jan 27 2015","11:30:40",19,"Live","100%_reliable","Zero",4,"Chrome",8,"Same",1,"Novel37",2,"Novel37","exposure","Novel37",2,2866,"down-left-4sec",0,0,TRUE,FALSE,4,TRUE,"test","1"
"Jan 27 2015","11:30:40",20,"Live","100%_reliable","Zero",4,"Chrome",8,"Same",1,"Novel37",0,"NA","test","Novel37",2,791,"straight-ahead",-1,0,TRUE,FALSE,4,TRUE,"test","1"
