"subid","itemNum","X.1","X","submit.date","submit.time","trial.num","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt.x","numPic","interval","day.and.time","correct","include","first.trial","numPicN","intervalNum","condition","testTrial","dataset","face","faceIdx","exposureTrial","exampleTrial","choseSocial","rt.y"
"A00236363DL2ZN8A4FD78",0,1,9,"Apr 02 2013","16:25:45",6,"Switch",1,"Novel74",3,"Novel22",2,2010,8,0,"(Apr 02 2013 16:25:45)",FALSE,TRUE,TRUE,8,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A00236363DL2ZN8A4FD78",1,2,10,"Apr 02 2013","16:25:45",8,"Same",1,"Novel87",7,"Novel87",7,1991,8,0,"(Apr 02 2013 16:25:45)",TRUE,TRUE,FALSE,8,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A00236363DL2ZN8A4FD78",2,3,11,"Apr 02 2013","16:25:45",10,"Switch",0,"Novel139",1,"Novel98",0,7460,8,0,"(Apr 02 2013 16:25:45)",FALSE,TRUE,FALSE,8,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A00236363DL2ZN8A4FD78",3,4,12,"Apr 02 2013","16:25:45",12,"Same",1,"Novel53",6,"Novel53",6,1519,8,0,"(Apr 02 2013 16:25:45)",TRUE,TRUE,FALSE,8,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A00236363DL2ZN8A4FD78",4,5,13,"Apr 02 2013","16:25:45",14,"Switch",0,"Novel109",3,"Novel33",4,2751,8,0,"(Apr 02 2013 16:25:45)",FALSE,TRUE,FALSE,8,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A00236363DL2ZN8A4FD78",5,6,14,"Apr 02 2013","16:25:45",16,"Same",0,"Novel60",2,"Novel60",5,973,8,0,"(Apr 02 2013 16:25:45)",TRUE,TRUE,FALSE,8,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A00236363DL2ZN8A4FD78",6,7,15,"Apr 02 2013","16:25:45",18,"Switch",1,"Novel73",2,"Novel48",7,2898,8,0,"(Apr 02 2013 16:25:45)",FALSE,TRUE,FALSE,8,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A00236363DL2ZN8A4FD78",7,8,16,"Apr 02 2013","16:25:45",20,"Same",0,"Novel84",3,"Novel84",4,1120,8,0,"(Apr 02 2013 16:25:45)",TRUE,TRUE,FALSE,8,0,"No-Social",1,"dy",NA,NA,NA,NA,NA,NA
"A0607295133OZ2DIJW5P8",0,19561,13,"Apr 07 2014","02:37:40",13,"Same",0,"Novel5",3,"Novel5",2,5021,4,2,"(Apr 07 2014 02:37:40)",TRUE,TRUE,TRUE,4,7,"Social",1,"km","eyescenter",-1,0,0,TRUE,6364
"A0607295133OZ2DIJW5P8",1,19562,14,"Apr 07 2014","02:37:40",14,"Switch",0,"Novel130",2,"Novel70",2,3456,4,2,"(Apr 07 2014 02:37:40)",FALSE,TRUE,FALSE,4,7,"Social",1,"km","eyescenter",-1,0,0,TRUE,2782
